Tempo privilegiato,Tempo processore,Tempo utente,Altre operazioni IO,Altri byte IO,Byte dati IO,Byte del file di paging,Byte del pool di paging,Byte del pool non-paging,Byte letti IO,Byte massimi file di paging,Byte privati,Byte scritti IO,Byte virtuali,Conteggio degli handle,Conteggio thread,Creazione ID processo,Errori di pagina,ID processo,Massimo valore byte virtuali,Max working set,Operazioni dati IO,Operazioni lettura IO,Operazioni scrittura IO,Priorità base,Tempo trascorso,Working set,Working set - Privato,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7,Principale8,Principale9
"2,7002722358","254,90569906","252,20542683",0,0,0,4762185728,341728,19080,0,4762353664,4762185728,0,9280684032,291,19,16052,0,22912,9294405632,4718497792,0,0,0,8,"186,00026",4718301184,4713660416,"66,576942373","-26,62741407","-201,8017198","42,422399828","63,251059309","55,641450278","-34,31785538","-79,42513685","-7,970134576"
0,"308,65075884","308,65075884",0,0,0,4762185728,341728,19080,0,4762353664,4762185728,0,9280684032,291,19,16052,0,22912,9294405632,4718497792,0,0,0,8,"188,98705",4718301184,4713660416,"64,68177733","-26,78198267","-195,5779646","35,641188404","63,356185444","54,864430138","-34,19757863","-79,44449539","-8,089524481"
"2,6012876482","224,75125281","222,14996516",0,0,0,4762185728,341728,19080,0,4762353664,4762185728,0,9280684032,291,19,16052,0,22912,9294405632,4718497792,0,0,0,8,"191,9903703",4718301184,4713660416,"67,471285654","-26,57756257","-204,4821172","45,168387562","63,261673597","55,887972987","-34,77108476","-81,65110187","-7,804452607"
"5,1814021322","346,11766243","340,9362603",0,0,0,4762185728,341728,19080,0,4762353664,4762185728,0,9280684032,291,19,16052,0,22912,9294405632,4718497792,0,0,0,8,"195,0059633",4718301184,4713660416,"64,10011495","-26,72319118","-194,7916137","35,54686712","63,123995822","55,149941268","-32,42533455","-69,66834833","-8,605345019"
"3,1403073234","392,01503087","388,87472354",0,0,0,4762185728,341728,19080,0,4762353664,4762185728,0,9280684032,291,19,16052,0,22912,9294405632,4718497792,0,0,0,8,"197,9913399",4718301184,4713660416,"62,509407339","-26,84890513","-189,6098506","29,929561","63,202309751","54,517384233","-32,25930458","-69,31777051","-8,72352894"
"3,6445409791","350,91723142","347,27269044",0,0,0,4762185728,341504,19080,0,4762353664,4762185728,0,9280684032,291,19,16052,0,22912,9294405632,4718497792,0,0,0,8,"200,9924037",4718301184,4713660416,"63,953850071","-26,78141831","-194,0698223","33,601607628","63,635971642","54,973706962","-32,88841634","-71,38387842","-8,632039229"
"0,5205405466","341,99513913","341,47459859",0,0,0,4762185728,341504,19080,0,4762353664,4762185728,0,9280684032,291,19,16052,0,22912,9294405632,4718497792,0,0,0,8,"203,9940911",4718301184,4713660416,"63,894488279","-26,83922499","-193,3066297","32,384293044","63,772873845","54,684101477","-33,76220458","-76,33140838","-8,393546325"
"1,561125637","282,04336509","280,48223945",0,0,0,4762185728,341504,19080,0,4762353664,4762185728,0,9280684032,291,19,16052,0,22912,9294405632,4718497792,0,0,0,8,"206,9967322",4718301184,4713660416,"65,802120797","-26,71226307","-199,2577879","38,655447288","63,740691462","55,319610805","-34,36757567","-79,04211579","-8,139758568"
0,"294,92784527","294,92784527",0,0,0,4762185728,341504,19080,0,4762353664,4762185728,0,9280684032,291,19,16052,0,22912,9294405632,4718497792,0,0,0,8,"210,0006449",4718301184,4713660416,"65,252124982","-26,77047654","-197,3062586","36,430398653","63,805344485","55,026186601","-34,55714189","-80,31314849","-8,112467772"
"7,324135536","344,23437019","336,91023466",0,0,0,4762185728,341504,19080,0,4762353664,4762185728,0,9280684032,291,19,16052,0,22912,9294405632,4718497792,0,0,0,8,"212,9873455",4718301184,4713660416,"64,539564467","-26,68191091","-196,5254915","36,637821182","63,478048939","55,461365918","-32,10408558","-66,74729739","-8,822150553"
