'VmPeak','VmSize','VmHWM','VmRSS','VmPTE','Threads','MemFree','Buffers','Cached','Active','Inactive','Dirty','Writeback','AnonPages','Mapped','Slab','PageTables','Committed_AS','NumOfAllocFH','proc-fd','avgThroughput','avgElapsed','avgLatency','Errors',Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7
170344,170340,31920,31912,200,37,4689572,98160,1094124,0,395720,882812,4689572,8159224,77100,0,86132,24168,109424,7608,317620,1530,0,2,"-7,881414646","-19,19468691","44,412479498","0,0870149306","1,5463083673","-3,130771248","0,2170038283"
170344,170340,31920,31912,200,51,4673128,98276,1110480,0,406568,888336,4673128,8159224,57796,0,86164,23948,109840,7320,319164,1530,0,2,"-4,667359917","-10,71095315","23,929959088","0,0682749629","0,3428367506","-0,321295248","-3,752954112"
170344,170340,31920,31912,200,45,4667772,98440,1117028,0,407616,892048,4667772,8159224,43668,0,84208,23740,109340,7208,317168,1530,0,2,"-4,133123353","-7,524522926","12,900274549","0,0495642642","-0,25923319","0,8011566574","-4,56501891"
170344,170340,31920,31912,200,30,4668884,98536,1117028,0,407620,892152,4668884,8159224,35060,0,84208,23740,109240,7204,314764,1530,0,2,"-4,234132447","-6,762116548","10,151111492","0,0106539275","-0,167837659","0,6962079468","-3,795130146"
170344,170340,31920,31912,200,25,4668808,98624,1117028,0,407620,892240,4668808,8159224,26764,0,84208,23740,109296,7208,316832,1530,0,2,"-4,086724937","-6,087342261","7,5426619031","-0,005756543","-0,178094703","0,7439624281","-2,89574539"
170344,170340,31948,31912,200,14,4669144,98728,1117028,0,407616,892344,4669144,8159224,18480,0,84204,23740,109156,7208,316736,1530,0,2,"-4,079195639","-5,396573859","4,9066388773","-0,038692897","-0,101569604","0,6805038014","-2,087047755"
170344,170340,31948,31912,200,9,4668936,98824,1117028,0,407620,892440,4668936,8159224,18464,0,84208,23740,109092,7208,316448,1530,0,2,"-4,120283876","-5,392857612","4,8896864325","-0,050343847","-0,031610766","0,6003303128","-2,106469855"
170344,170340,31948,31912,200,62,4668636,98928,1117028,0,407616,892536,4668636,8159224,14372,0,84204,23740,109108,7208,314192,1530,0,2,"-3,861665009","-4,971394671","3,7178357071","0,0472326999","-0,662058034","1,3412613741","-1,433816609"
170344,170340,31948,31912,200,53,4668336,99024,1117028,0,407616,892632,4668336,8159224,10352,0,84204,23740,109172,7208,316248,1530,0,2,"-3,793907802","-4,646901099","2,435535951","0,0282716313","-0,602008967","1,2915873227","-1,066499624"
170344,170340,31948,31912,200,36,4668472,99120,1117028,0,407620,892736,4668472,8159224,6216,0,84208,23740,109088,7204,318304,1530,0,2,"-3,802908683","-4,323764331","1,0777620866","-0,00945169","-0,438591481","1,1239466648","-0,796925292"
170344,170340,31948,31912,200,27,4668544,99224,1117028,0,407620,892832,4668544,8159224,1944,0,84208,23740,109120,7208,316128,1530,0,2,"-3,856089563","-3,934977443","-0,261433619","-0,030999788","-0,373883833","1,043833641","-0,307115532"
170344,170340,31948,31912,200,12,4668532,99320,1117028,0,407624,892932,4668532,8159224,32,0,84208,23740,109188,7204,316032,1530,0,2,"-3,927516203","-3,749932282","-0,897959341","-0,058647976","-0,246248473","0,8888371012","-0,24245944"
170344,170340,31948,31912,200,9,4668440,99416,1117028,0,407624,893028,4668440,8159224,32,0,84208,23740,109080,7204,316072,1530,0,2,"-3,953753347","-3,757453322","-0,910335322","-0,067678384","-0,189768161","0,8293060611","-0,257658861"
170344,170340,31948,31912,200,9,4668456,99520,1117028,0,407624,893132,4668456,8159224,32,0,84208,23740,109016,7204,316072,1530,0,2,"-3,961151637","-3,758206826","-0,91379034","-0,069682402","-0,175049313","0,8162200885","-0,257943949"
170344,170340,31948,31912,200,61,4667784,99616,1117028,0,407620,893228,4667784,8159224,32,0,84204,23740,109164,7208,316072,1020,0,2,"-3,432511815","-3,747942094","-0,827813931","0,0416084392","-1,741617699","0,4792351073","0,0278766741"
172388,170340,32156,31912,200,46,4668632,99720,1117028,0,407624,893324,4668632,8159224,160,0,84208,23740,109052,7204,313720,1020,0,2,"-3,561754186","-3,760171258","-0,839945119","0,0095779443","-1,559864048","0,258626562","-0,127730842"
172388,170340,32156,31912,200,36,4668108,99816,1117028,0,407624,893428,4668108,8159224,144,0,84208,23740,109048,7208,315884,1020,0,2,"-3,528025919","-3,798839884","-0,857862018","-0,010549334","-1,427599838","0,1231012509","-0,111374255"
172388,170340,32156,31912,200,24,4667816,99904,1117036,0,407624,893524,4667816,8159224,56,0,84208,23740,109096,7204,315884,1020,0,2,"-3,5974026","-3,766330516","-0,921968177","-0,031455503","-1,312268842","-0,018341553","-0,224656142"
172388,170340,32156,31912,200,12,4668052,100008,1117036,0,407632,893620,4668052,8159224,36,0,84208,23740,109028,7204,315280,510,0,2,"-3,475492567","-3,797642023","-0,995828221","-0,047895377","-2,142383489","-1,225472785","-0,290930244"
172388,170340,32156,31912,200,9,4667952,100104,1117036,0,407636,893716,4667952,8159224,44,0,84212,23740,108968,7208,317332,1020,0,2,"-3,631306464","-3,811551365","-0,955589324","-0,064900155","-1,101883545","-0,24482506","-0,227727715"
172388,170340,32156,31912,200,59,4667436,100200,1117036,0,407636,893804,4667436,8159224,32,0,84212,23740,108928,7208,312972,1020,0,2,"-3,501888059","-3,713991966","-0,847055579","0,0287823444","-1,656403824","0,3850618286","0,0194047629"
172388,170340,32156,31912,200,43,4667680,100296,1117036,0,407632,893900,4667680,8159224,20,0,84208,23740,109172,7208,317104,1020,0,2,"-3,432427622","-3,750505521","-0,878437039","0,005781381","-1,51337359","0,2307164226","-0,066398351"
172388,170340,32156,31912,200,38,4667596,100392,1117036,0,407640,893988,4667596,8159224,156,0,84216,23740,108956,7208,314724,1530,0,2,"-3,772482167","-3,715395212","-0,810298408","-0,019113892","-0,442022803","1,1478908095","-0,074199393"
172388,170340,32156,31912,200,28,4667180,100488,1117036,0,407632,894092,4667180,8159224,164,0,84208,23740,109088,7208,316884,1530,0,2,"-3,741044623","-3,727602726","-0,823174764","-0,034240195","-0,347262891","1,0442787476","-0,12757802"
172388,170340,32156,31912,200,9,4667208,100584,1117036,0,407640,894192,4667208,8159224,36,0,84212,23740,108952,7208,316756,1530,0,2,"-3,860459549","-3,73406548","-0,909097814","-0,074823585","-0,109342698","0,7702524975","-0,199583415"
172388,170340,32156,31928,200,9,4667456,100676,1117036,0,407656,894284,4667456,8159224,40,0,84228,23740,109008,7208,316676,1530,0,2,"-3,857041961","-3,723964981","-0,90367927","-0,073390393","-0,117099647","0,7764377569","-0,196856927"
172388,170340,32156,31928,200,60,4666924,100780,1117036,0,407656,894380,4666924,8159224,24,0,84228,23740,109132,7208,314420,1530,0,2,"-3,637773601","-3,637371781","-0,789696873","0,0272583855","-0,708517089","1,4555648322","0,0469454566"
172388,170340,32156,31928,200,48,4666280,100876,1117036,0,407656,894484,4666280,8159224,44,0,84228,23740,108972,7204,314216,1530,0,2,"-3,73746976","-3,634725401","-0,826687547","0,0003417711","-0,552642664","1,2765904878","-0,081828645"
172388,170340,32156,31928,200,33,4666888,100972,1117036,0,407652,894572,4666888,8159224,32,0,84224,23740,109000,7204,316300,1530,0,2,"-3,753658516","-3,668746509","-0,865503058","-0,027276406","-0,385903471","1,0915713808","-0,156319964"
172388,170340,32156,31928,200,18,4666768,101068,1117036,0,407656,894676,4666768,8159224,164,0,84228,23740,109032,7208,316300,1530,0,2,"-3,814988971","-3,689889514","-0,838297156","-0,055995523","-0,209398825","0,8847790395","-0,162806284"
172388,170340,32156,31928,200,10,4666940,101156,1117036,0,407652,894764,4666940,8159224,152,0,84224,23740,108984,7208,316096,1020,0,2,"-3,656879016","-3,723478522","-0,901583096","-0,064124883","-1,086955107","-0,264481366","-0,214255724"
172388,170340,32156,31928,200,9,4666468,101260,1117036,0,407652,894868,4666468,8159224,32,0,84224,23740,108984,7208,316096,510,0,2,"-3,443528135","-3,735078758","-0,980527986","-0,057665445","-2,049629274","-1,312588325","-0,224388391"
172388,170340,32156,31928,200,62,4666292,101356,1117036,0,407652,894964,4666292,8159224,36,0,84224,23740,108916,7208,316096,510,0,2,"-3,166859898","-3,708280582","-0,8779647","0,0415243557","-2,622675386","-0,628076714","0,0079244698"
172388,170340,32156,31928,200,50,4666636,101440,1117036,0,407656,895048,4666636,8159224,40,0,84228,23740,109064,7204,315856,510,0,2,"-3,240313666","-3,67833088","-0,901149422","0,0237698693","-2,527797868","-0,75517656","-0,109555933"
172388,170340,32156,31928,200,36,4665632,101544,1117036,0,407656,895152,4665632,8159224,32,0,84228,23740,109092,7208,317980,1020,0,2,"-3,436245231","-3,678722643","-0,879306399","-0,011811225","-1,379297604","0,0942158109","-0,0923723"
172388,170340,32192,31912,200,27,4666808,101648,1117036,0,407640,895256,4666808,8159224,32,0,84212,23740,109072,7208,315604,1020,0,2,"-3,570403957","-3,653645772","-0,892722017","-0,029796629","-1,281817523","-0,039452067","-0,115159079"
172388,170340,32192,31912,200,12,4666184,101744,1117040,0,407640,895348,4666184,8159224,152,0,84212,23740,108988,7204,315604,1020,0,2,"-3,671213824","-3,654489158","-0,902680875","-0,060124047","-1,105786832","-0,245289373","-0,267099359"
172388,170340,32192,31916,200,9,4665720,101836,1117040,0,407652,895440,4665720,8159224,160,0,84216,23740,109008,7204,317648,1530,0,2,"-3,831165289","-3,642652587","-0,867743613","-0,0739034","-0,090956932","0,7578043448","-0,273584811"
172388,170340,32192,31916,200,30,4665924,101924,1117040,0,407652,895528,4665924,8159224,32,0,84216,23740,109056,7208,317772,1530,0,2,"-3,694341186","-3,626855341","-0,851453963","-0,033474627","-0,320804677","1,0327091181","-0,094515123"
172388,170340,32192,31916,200,54,4665492,102028,1117040,0,407656,895632,4665492,8159224,40,0,84220,23740,109004,7208,317492,1530,0,2,"-3,577538612","-3,606541072","-0,802142185","0,0106498277","-0,574288233","1,3358513324","0,0114015651"
172388,170340,32192,31916,200,40,4665232,102104,1117044,0,407676,895692,4665232,8159224,44,0,84220,23740,109032,7208,317276,1530,0,2,"-3,652786203","-3,599388685","-0,827487805","-0,015472976","-0,422091953","1,1533916105","-0,048543377"
172388,170340,32192,31916,200,30,4665560,102184,1117044,0,407696,895752,4665560,8159224,24,0,84220,23740,108900,7204,319344,1530,0,2,"-3,673560089","-3,634065247","-0,881329881","-0,037318694","-0,292281182","1,0183101814","-0,176565894"
172388,170340,32192,31916,200,18,4665780,102200,1117044,0,407784,895680,4665780,8159224,32,0,84220,23740,108924,7208,314672,1020,0,2,"-3,652174031","-3,619279715","-0,916165147","-0,052305458","-1,141250342","-0,198208431","-0,150256228"
172388,170340,32192,31916,200,9,4665728,102240,1117044,0,407836,895664,4665728,8159224,164,0,84216,23740,108928,7208,316776,1020,0,2,"-3,633924698","-3,665565261","-0,898628771","-0,069006037","-1,036146991","-0,308061201","-0,216659388"
172388,170340,32192,31916,200,9,4665480,102256,1117044,0,407920,895600,4665480,8159224,156,0,84220,23740,108980,7208,314404,1020,0,2,"-3,699145944","-3,624093493","-0,889373945","-0,067784647","-1,051998082","-0,309040221","-0,201841679"
172388,170340,32192,31916,200,60,4665072,102284,1117044,0,407992,895552,4665072,8159224,40,0,84216,23740,108932,7208,314404,1020,0,2,"-3,426701607","-3,591576386","-0,827460669","0,0281883501","-1,610624687","0,357262922","0,0320206061"
172388,170340,32192,31912,200,46,4665672,102324,1117044,0,408044,895544,4665672,8159224,24,0,84220,23740,108964,7208,314404,1020,0,2,"-3,501366157","-3,598682674","-0,859224375","0,0024221586","-1,462723812","0,1790386891","-0,026609761"
172388,170340,32192,31912,200,30,4665296,102404,1117044,0,408064,895600,4665296,8159224,44,0,84216,23740,108928,7208,314276,1530,0,2,"-3,80633396","-3,570949721","-0,843396839","-0,038014272","-0,299325244","0,9929167255","-0,080328939"
172388,170340,32192,31912,200,22,4665492,102432,1117044,0,408132,895560,4665492,8159224,36,0,84216,23740,108880,7208,316320,1530,0,2,"-3,79029864","-3,613539487","-0,872179412","-0,054421239","-0,197981109","0,890122486","-0,128940321"
172388,170340,32192,31912,200,10,4665712,102468,1117036,0,408188,895532,4665712,8159224,24,0,84216,23740,108908,7208,316096,1530,0,2,"-3,861080128","-3,618107584","-0,891438126","-0,076462824","-0,071717374","0,7359005187","-0,178311761"
