procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 2332736  33692 642748    0    0  6054   350 1100   12 16 20 62  2  0
 1  0      0 2332736  33692 642792    0    0     0     4  479  941  1  0 99  0  0
 1  0      0 2332736  33700 642788    0    0     0    72  538 1110  1  1 98  0  0
 1  0      0 2332736  33700 642788    0    0     0     0  236  508  0  0 100  0  0
 1  0      0 2332736  33700 642800    0    0     0  1428  211  439  0  0 100  0  0
 1  0      0 2328844  33704 645496    0    0  2780     0  370  465  1  3 96  0  0
 1  0      0 2328116  33704 646052    0    0   460     0  312  445  0  3 97  0  0
 1  0      0 2327864  33712 646244    0    0   256    80  339  505  0  2 98  1  0
 1  0      0 2326856  33712 647272    0    0   960     0  306  488  0  1 99  0  0
 1  0      0 2326856  33712 647272    0    0     0     0  299  478  0  0 100  0  0
 1  0      0 2326632  33712 647272    0    0     0     8  309  481  0  1 99  0  0
 1  0      0 2326408  33712 647272    0    0     0     0  319  457  1  2 97  0  0
 1  0      0 2325148  33712 648388    0    0  1116     0  379  465  0  4 96  0  0
 1  0      0 2325148  33720 648396    0    0     0    76  371  461  0  2 98  0  0
 1  0      0 2325148  33720 648396    0    0     0     0  298  461  0  0 100  0  0
 1  0      0 2325148  33720 648396    0    0     0     4  347  453  0  1 99  0  0
 1  0      0 2316956  33720 648440    0    0     4    60  697 1385  2  5 94  0  0
 1  0      0 2316508  33720 648440    0    0     0     0  606  975  0  3 97  0  0
 1  0      0 2316508  33728 648440    0    0     0    20  341  461  0  1 99  0  0
 1  0      0 2315612  33728 648440    0    0     0     4  341  471  0  2 98  0  0
 1  0      0 2315612  33728 648440    0    0     0     8  323  481  0  1 99  0  0
 1  0      0 2314044  33728 648440    0    0     0     0  291  435  0  3 97  0  0
 1  0      0 2312924  33728 648440    0    0     0     0  347  463  0  2 98  0  0
 1  0      0 2312924  33736 648432    0    0     0    32  313  454  1  1 98  0  0
 1  0      0 2311804  33736 648440    0    0     0     0  299  464  0  1 99  0  0
 1  0      0 2311580  33736 648440    0    0     0     4  427  536  0  5 95  0  0
 1  0      0 2310460  33736 648460    0    0     0     8  324  455  0  1 99  0  0
 1  0      0 2310460  33736 648460    0    0     0     0  298  446  1  1 99  0  0
 1  0      0 2309116  33736 648460    0    0     0     0  293  459  0  1 99  0  0
 1  0      0 2307324  33744 648464    0    0     0    28  364  477  0  3 97  0  0
 1  0      0 2307324  33744 648464    0    0     0     0  337  444  0  1 99  0  0
 1  0      0 2307324  33744 648464    0    0     0     8  346  511  1  1 99  0  0
 1  0      0 2305980  33744 648464    0    0     0     8  359  491  0  2 98  0  0
 1  0      0 2304188  33744 648464    0    0     0     0  323  482  0  1 99  0  0
 1  0      0 2304188  33752 648464    0    0     0    52  352  483  0  1 99  0  0
 2  0      0 2303292  33752 648464    0    0     0     0  336  472  1  1 98  0  0
 1  0      0 2303292  33752 648464    0    0     0     8  381  468  0  2 98  0  0
 1  0      0 2303068  33752 648468    0    0     0     4  342  449  0  1 99  0  0
 1  0      0 2300828  33752 648468    0    0     0     0  343  469  0  3 97  0  0
 1  0      0 2300828  33760 648460    0    0     0    52  357  476  0  1 99  0  0
 1  0      0 2300828  33760 648468    0    0     0     0  356  485  1  1 98  0  0
 1  0      0 2300828  33760 648468    0    0     0     0  311  473  0  1 99  0  0
 1  0      0 2299708  33760 648468    0    0     0     4  350  464  0  2 98  0  0
 1  0      0 2299484  33760 648468    0    0     0     4  345  491  1  1 99  0  0
 1  0      0 2299484  33760 648468    0    0     0    12  347  472  0  1 99  0  0
 1  0      0 2296796  33768 648472    0    0     0    16  416  491  0  4 96  1  0
 1  0      0 2295676  33768 648472    0    0     0     0  342  454  0  2 98  0  0
 1  0      0 2295676  33768 648472    0    0     0    24  368  513  1  0 99  0  0
 1  0      0 2295228  33768 648476    0    0     0     0  360  485  0  2 98  0  0
 1  0      0 2293212  33768 648476    0    0     0     8  351  481  0  2 98  0  0
 1  0      0 2293212  33776 648476    0    0     0    40  315  449  0  2 98  0  0
 1  0      0 2293212  33776 648476    0    0     0     0  279  444  1  0 99  0  0
 1  0      0 2293212  33776 648476    0    0     0     4  344  478  0  1 99  0  0
 1  0      0 2293212  33776 648476    0    0     0     0  339  477  0  1 99  0  0
 1  0      0 2293212  33776 648476    0    0     0     0  356  495  0  1 99  0  0
 1  0      0 2293212  33784 648468    0    0     0    44  357  497  1  2 98  0  0
 1  0      0 2290748  33784 648480    0    0     0     0  395  485  0  5 95  0  0
 1  0      0 2290748  33784 648480    0    0     0     0  342  443  0  2 98  0  0
 1  0      0 2290748  33784 648480    0    0     0     8  367  448  0  3 97  0  0
 1  0      0 2289180  33784 648480    0    0     0     0  375  489  0  2 98  0  0
 1  0      0 2288732  33784 648480    0    0     0     0  337  466  0  2 98  0  0
 1  0      0 2288508  33792 648472    0    0     0    52  335  485  0  0 100  0  0
 1  0      0 2288284  33792 648480    0    0     0     0  372  477  1  3 97  0  0
 1  0      0 2288284  33792 648480    0    0     0    60  414  504  1  2 98  0  0
 1  0      0 2288284  33792 648480    0    0     0     0  358  479  0  2 98  0  0
 1  0      0 2288220  33792 648480    0    0     0     0  336  451  0  3 97  0  0
 1  0      0 2319816  33800 648476    0    0     0    16  303  467  0  1 99  0  0
 1  0      0 2318024  33800 648484    0    0     0     4  324  467  1  2 98  0  0
 1  0      0 2317336  33800 648484    0    0     0     8  332  470  0  2 98  0  0
 1  0      0 2317112  33800 648484    0    0     0     0  323  473  0  1 99  0  0
 1  0      0 2315320  33800 648484    0    0     0     0  317  465  1  2 98  0  0
 1  0      0 2314200  33800 648484    0    0     0     0  355  494  0  1 99  0  0
 1  0      0 2311708  33808 648484    0    0     0    28  305  472  0  2 98  0  0
 1  0      0 2309692  33808 648484    0    0     0     4  332  446  0  2 98  0  0
 1  0      0 2308320  33808 648484    0    0     0     4  334  481  1  1 98  0  0
 1  0      0 2307424  33808 648488    0    0     0     0  343  446  1  1 98  0  0
 1  0      0 2305184  33808 648488    0    0     0     0  283  453  1  2 98  0  0
 1  0      0 2304288  33816 648480    0    0     0    28  280  450  0  1 99  0  0
 2  0      0 2303140  33816 648488    0    0     0     0  277  453  1  1 98  0  0
 1  0      0 2302916  33816 648488    0    0     0    12  381  492  0  1 99  0  0
 1  0      0 2302692  33816 648488    0    0     0     0  274  450  0  0 100  0  0
 1  0      0 2301348  33816 648488    0    0     0     0  342  456  0  4 96  0  0
 1  0      0 2298436  33824 648488    0    0     0    28  351  508  1  3 96  0  0
 1  0      0 2296420  33824 648488    0    0     0     0  312  463  0  1 99  0  0
 1  0      0 2295748  33824 648492    0    0     0     0  293  464  0  2 98  0  0
 2  0      0 2291848  33824 648508    0    0     0    12  400  537  1  3 96  0  0
 1  0      0 2290504  33824 648508    0    0     0     0  283  450  0  2 98  0  0
 1  0      0 2288264  33824 648508    0    0     0     0  301  433  1  2 98  0  0
 1  0      0 2287148  33832 648508    0    0     0    28  276  460  0  2 98  0  0
 2  0      0 2317872  33832 648508    0    0     0     0  282  464  0  1 99  0  0
 1  0      0 2316528  33832 648508    0    0     0     4  313  478  0  1 99  0  0
 2  0      0 2314736  33832 648508    0    0     0     4  320  477  1  2 98  0  0
 1  0      0 2311824  33832 648508    0    0     0     0  339  496  0  3 97  0  0
 1  0      0 2311360  33840 648508    0    0     0    28  300  480  0  0 100  0  0
 1  0      0 2310688  33840 648512    0    0     0     0  271  439  0  2 98  0  0
 1  0      0 2309120  33840 648512    0    0     0     0  296  437  1  2 98  0  0
 1  0      0 2308448  33840 648512    0    0     0     8  339  454  0  2 98  0  0
 1  0      0 2305760  33840 648512    0    0     0     4  302  455  0  2 98  0  0
 1  0      0 2304388  33848 648508    0    0     0    28  303  473  0  1 99  0  0
 1  0      0 2304164  33848 648516    0    0     0     0  295  464  1  1 99  0  0
 3  0      0 2301672  33848 648516    0    0     0     0  339  468  0  1 99  0  0
 1  0      0 2297864  33848 648516    0    0     0     4  310  464  0  4 96  0  0
 1  0      0 2296072  33848 648516    0    0     0     0  312  476  0  1 99  0  0
 1  0      0 2295372  33848 648516    0    0     0    20  316  452  1  1 98  1  0
 1  0      0 2295148  33856 648520    0    0     0    24  253  422  0  0 100  0  0
 1  0      0 2294476  33856 648520    0    0     0     0  262  420  1  1 99  0  0
 1  0      0 2291340  33856 648520    0    0     0     8  302  454  0  3 97  0  0
 1  0      0 2289996  33856 648520    0    0     0     0  312  469  1  2 98  0  0
 1  0      0 2289996  33856 648520    0    0     0     0  274  424  0  1 99  0  0
 1  0      0 2286636  33864 648520    0    0     0    40  313  465  0  2 98  0  0
 1  0      0 2316940  33864 648520    0    0     0     0  293  449  0  1 99  0  0
 1  0      0 2315148  33864 648520    0    0     0     0  323  441  1  3 96  0  0
 3  0      0 2314924  33864 648520    0    0     0     4  292  454  0  0 100  0  0
 1  0      0 2311772  33864 648520    0    0     0     0  280  441  1  2 98  0  0
 1  0      0 2309504  33872 648516    0    0     0    36  329  484  0  2 98  0  0
 1  0      0 2309504  33872 648524    0    0     0     0  335  477  0  3 97  0  0
 1  0      0 2308608  33872 648524    0    0     0     0  297  469  0  1 99  0  0
 1  0      0 2305668  33872 648524    0    0     0     8  278  445  0  2 98  0  0
 1  0      0 2304324  33872 648524    0    0     0     0  287  443  1  1 98  0  0
 1  0      0 2301636  33872 648524    0    0     0     0  278  446  0  2 98  0  0
 1  0      0 2301636  33880 648524    0    0     0    52  318  482  1  1 98  0  0
 1  0      0 2300740  33880 648524    0    0     0     0  315  462  0  0 100  0  0
 1  0      0 2298276  33880 648524    0    0     0     4  290  445  0  3 97  0  0
 1  0      0 2296232  33880 648528    0    0     0     0  259  430  0  1 99  0  0
 1  0      0 2292172  33880 648528    0    0     0     0  296  459  1  2 97  0  0
 1  0      0 2289260  33888 648528    0    0     0    16  306  464  0  1 99  0  0
 1  0      0 2287020  33888 648528    0    0     0     4  340  468  0  1 99  0  0
 1  0      0 2316132  33888 648528    0    0     0     0  379  469  0  4 96  0  0
 1  0      0 2313204  33888 648528    0    0     0     8  361  472  0  3 97  0  0
 1  0      0 2313204  33888 648528    0    0     0     0  337  451  1  1 98  0  0
 1  0      0 2312280  33896 648528    0    0     0    28  288  443  0  1 99  0  0
 1  0      0 2310712  33896 648528    0    0     0     0  294  437  0  1 99  0  0
 1  0      0 2310040  33896 648528    0    0     0     4  315  460  0  1 99  0  0
 1  0      0 2309144  33896 648532    0    0     0     8  309  441  1  1 99  0  0
 1  0      0 2308920  33896 648532    0    0     0     0  288  435  0  1 99  0  0
 1  0      0 2306456  33904 648532    0    0     0    28  283  441  0  1 99  0  0
 1  0      0 2305336  33904 648532    0    0     0     0  385  466  1  2 97  0  0
 1  0      0 2305336  33904 648532    0    0     0     0  315  426  0  2 98  0  0
 1  0      0 2303740  33904 648532    0    0     0     4  404  467  0  2 98  0  0
 1  0      0 2303068  33904 648532    0    0     0     4  374  480  0  2 98  0  0
 1  0      0 2301948  33904 648532    0    0     0     0  301  466  0  1 99  0  0
 1  0      0 2301276  33912 648532    0    0     0    36  303  440  1  1 98  0  0
 1  0      0 2299708  33912 648532    0    0     0     0  316  460  0  1 99  0  0
 1  0      0 2295900  33912 648536    0    0     0     0  423  493  0  5 95  0  0
 1  0      0 2295900  33912 648536    0    0     0    12  316  461  0  1 99  0  0
 2  0      0 2259688  33944 649376    0    0   696     0  710  829 35 17 47  1  0
 1  0      0 2246976  33960 649972    0    0   568    72  486  570 14  6 79  1  0
 1  0      0 2246976  33960 649972    0    0     0     0  394  474  0  2 98  0  0
 1  0      0 2246976  33960 649976    0    0     0     0  275  436  1  1 98  0  0
 1  0      0 2246976  33960 649976    0    0     0     0  319  431  0  1 99  0  0
 1  0      0 2246976  33960 649976    0    0     0    12  307  463  0  1 99  0  0
 1  0      0 2246976  33968 649976    0    0     0   104  328  484  1  1 98  0  0
 2  0      0 2247004  33968 649968    0    0     0     0  415  527  0  2 98  0  0
 2  0      0 2257688  33968 649972    0    0     0     0  428  493  0  4 96  0  0
 1  0      0 2254760  33968 649972    0    0     0     0  445  495  0  4 96  0  0
15  0      0 2254440  33968 649972    0    0     0     8  317  578  1  1 98  0  0
 1  0      0 2263204  33976 649968    0    0     0    44  415  535  2  4 95  0  0
 1  0      0 2262964  33976 649968    0    0     0     0  392  491  0  3 97  0  0
 1  0      0 2262964  33976 649968    0    0     0     0  337  482  0  1 99  0  0
 1  0      0 2262964  33976 649968    0    0     0     0  381  452  0  3 97  0  0
 1  0      0 2262292  33976 649968    0    0     0     4  325  458  0  3 97  0  0
 1  0      0 2260724  33984 649960    0    0     0    40  367  456  0  2 98  0  0
 1  0      0 2260500  33984 649972    0    0     0     4  333  485  1  1 98  0  0
 1  0      0 2258708  33984 649972    0    0     0     0  374  478  0  3 97  0  0
 1  0      0 2257812  33984 649972    0    0     0     0  375  461  0  4 96  0  0
 1  0      0 2257588  33984 649972    0    0     0     0  427  475  1  3 96  0  0
 1  0      0 2265456  33984 649972    0    0     0     8  317  458  1  2 97  0  0
 1  0      0 2264768  33992 649972    0    0     0    48  360  462  0  2 98  0  0
 1  0      0 2262976  33992 649972    0    0     0     4  319  474  0  2 98  0  0
 1  0      0 2262304  33992 649972    0    0     0     0  286  425  0  2 98  0  0
 1  0      0 2262080  33992 649972    0    0     0     0  338  452  0  1 99  0  0
 1  0      0 2261856  33992 649972    0    0     0     4  355  482  1  1 98  0  0
 1  0      0 2261616  34000 649976    0    0     0    16  369  495  0  1 99  0  0
 1  0      0 2261616  34000 649976    0    0     0     0  277  419  0  1 99  0  0
 1  0      0 2259824  34000 649976    0    0     0     4  351  474  0  2 98  0  0
 1  0      0 2258256  34000 649976    0    0     0   272  379  496  1  2 98  0  0
 1  0      0 2258256  34000 649976    0    0     0     8  347  449  0  2 98  0  0
 1  0      0 2258256  34000 649976    0    0     0     0  369  480  1  2 97  0  0
 2  0      0 2258032  34008 649976    0    0     0    40  325  456  0  2 98  0  0
 1  0      0 2257136  34008 649976    0    0     0     0  299  427  0  1 99  0  0
 1  0      0 2256240  34008 649976    0    0     0     4  327  457  0  2 98  0  0
 1  0      0 2256240  34008 649976    0    0     0     0  392  468  0  2 98  0  0
 1  0      0 2256240  34008 649980    0    0     0     4  318  462  0  1 99  0  0
 1  0      0 2256016  34016 649980    0    0     0    40  328  455  0  1 99  0  0
 1  0      0 2256016  34016 649980    0    0     0     0  333  471  1  1 99  0  0
 1  0      0 2255248  34016 649980    0    0     0     0  333  479  0  1 99  0  0
 1  0      0 2255248  34016 649980    0    0     0     4  267  440  0  0 100  0  0
 1  0      0 2255248  34016 650020    0    0    32     8  544 1204  2  1 97  0  0
