procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 2301484  33672 647556    0    0 10764   441 1731   20 23 30 45  3  0
 1  0      0 2301484  33672 647632    0    0    32     0  514 1109  2  1 98  0  0
 1  0      0 2301484  33672 647644    0    0     0     0  246  410  0  1 99  0  0
 1  0      0 2301484  33680 647644    0    0     0    72  213  327  0  1 99  0  0
 4  0      0 2289304  33684 653136    0    0  5572     0 1184  880  1 36 63  1  0
 1  0      0 2286560  33684 653248    0    0     0     0 1792  866  0 39 61  0  0
 1  0      0 2286560  33684 653256    0    0     0     4 1999  850  1 37 62  0  0
 2  0      0 2286560  33684 653264    0    0    32     0 1824 1442  1 30 69  0  0
 3  0      0 2285552  33684 653328    0    0     0     0 2100 2323  6 40 54  0  0
 2  0      0 2285360  33692 653360    0    0     0  3952 2206 2620  9 38 54  0  0
 1  0      0 2285360  33692 653372    0    0     0     0 1896 1568  3 35 63  0  0
 5  0      0 2285108  33692 653392    0    0     0    56 2063 2191  5 39 56  0  0
 2  0      0 2282600  33692 653604    0    0     8     4 2240 3942 14 47 38  1  0
 2  0      0 2282600  33692 653612    0    0     0     0 1749 1698  2 39 59  0  0
 1  0      0 2262024  33700 653628    0    0     0  1080 1566 1029  1 54 45  0  0
 1  0      0 2265168  33700 653640    0    0     0  1768 1178  940  1 58 41  0  0
24  0      0 2280684  33700 653648    0    0     0     0 12910  680  0 85 15  0  0
12  0      0 2278892  33700 653648    0    0     0   268 8715  272  1 52 47  0  0
 6  0      0 2278892  33708 653640    0    0     0    64 8702  460  1 51 49  0  0
 6  0      0 2278892  33708 653648    0    0     0     0 10473  436  1 50 49  0  0
10  0      0 2278892  33708 653648    0    0     0     0 9456  463  1 50 49  0  0
10  0      0 2278892  33708 653648    0    0     0     0 8991  372  1 59 40  0  0
 7  0      0 2278892  33708 653648    0    0     0     0 8744  443  0 51 49  0  0
 2  0      0 2278892  33708 653648    0    0     0     4 9397  460  0 51 49  0  0
 8  0      0 2278892  33716 653640    0    0     0    40 10291  470  0 51 49  0  0
 9  0      0 2278892  33716 653640    0    0     0     4 9640  458  0 51 49  0  0
 6  0      0 2271248  33716 653652    0    0     0     8 8203  608  1 48 51  0  0
 5  0      0 2286760  33716 653660    0    0     0     0 1287  960  1 47 53  0  0
 8  0      0 2279460  33716 653668    0    0     0     0 1014  884  2 70 29  0  0
 6  0      0 2270756  33724 653684    0    0     0    32 1095  995  1 63 37  0  0
 5  0      0 2262024  33724 653696    0    0     0     0 1155  983  1 55 44  0  0
 5  0      0 2269336  33724 653704    0    0     0    56 4069  709  0 57 43  0  0
 4  0      0 2269336  33724 653704    0    0     0     0 9209  416  0 51 49  0  0
 4  0      0 2269336  33724 653704    0    0     0     0 9704  427  0 51 49  0  0
 4  0      0 2269336  33732 653696    0    0     0    28 10494  433  0 51 49  0  0
 5  0      0 2269336  33732 653696    0    0     0     4 10966  449  0 51 49  0  0
 4  0      0 2269336  33732 653696    0    0     0     0 10266  425  1 51 49  0  0
 4  0      0 2269336  33732 653696    0    0     0     0 10739  441  0 51 49  0  0
 4  0      0 2269336  33732 653696    0    0     0     0 10722  419  1 50 49  0  0
 4  0      0 2269336  33740 653688    0    0     0    32 10848  423  0 51 49  0  0
 4  0      0 2278932  33740 653700    0    0     0     8 3904  737  1 33 66  0  0
19  0      0 2282084  33740 653712    0    0     0     4 21393  525  0 92  8  0  0
 6  0      0 2281368  33748 653712    0    0     0    28  875  804  1 36 63  0  0
 6  0      0 2276044  33748 653728    0    0     0    36 1280 1040  1 55 44  0  0
 5  0      0 2272160  33748 653748    0    0     0     0 1106  987  1 64 35  0  0
 3  0      0 2280660  33748 653756    0    0     0     0 1153  998  1 62 37  0  0
