procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 2280208  33788 656620    0    0 10246   524 1779   21 22 26 49  2  0
 1  0      0 2280208  33788 656704    0    0    32     0  772 1464  1  2 98  0  0
 1  0      0 2280208  33788 656704    0    0     0     0  205  328  0  0 100  0  0
 1  0      0 2279956  33788 656704    0    0     0     4  264  412  1  0 99  0  0
 1  0      0 2271024  33792 662144    0    0  5424     0  672  570  1 13 86  1  0
 2  0      0 2261336  33796 662252    0    0   148    68 1377  957  1 51 48  0  0
 3  0      0 2251368  33800 662312    0    0     0    60 1299  979  1 51 48  0  0
 2  0      0 2272820  33800 662324    0    0     0     0 1412 1155  1 46 53  0  0
 3  0      0 2261452  33800 662340    0    0     0     0 1310 1052  1 48 51  0  0
 1  0      0 2249876  33800 662348    0    0     0    64 1412 1019  0 46 54  0  0
 4  0      0 2239684  33800 662360    0    0     0     0 1413  972  2 42 56  0  0
 3  0      0 2263404  33808 662372    0    0     0    28 1446  994  1 43 56  0  0
 2  0      0 2255676  33808 662380    0    0     0   312 1516  938  2 35 63  0  0
 2  0      0 2249096  33808 662392    0    0     0  1192 1543  964  0 43 57  0  0
 5  0      0 2235536  33808 662404    0    0     0  7400 1679 1010  1 46 53  0  0
 2  0      0 2245864  33808 662416    0    0     0     4 1582 1118  2 43 56  0  0
 3  0      0 2255180  33816 662444    0    0     0    40 1453 1202  1 52 47  0  0
 3  0      0 2257140  33816 662456    0    0     0     0 1428 1109  2 43 55  0  0
 2  0      0 2261328  33816 662468    0    0     0     0 1436 1064  1 56 43  0  0
 1  0      0 2260636  33816 662484    0    0     0    76 1273 1025  1 62 37  0  0
 2  0      0 2232080  33816 662496    0    0     0     4 1263  980  1 57 42  0  0
 3  0      0 2231404  33824 662508    0    0     0    40 1222 1007  1 57 42  0  0
 3  0      0 2241064  33824 662520    0    0     0     0 1289  984  2 58 41  0  0
 4  0      0 2230956  33824 662524    0    0     0     0 5075  616  1 55 45  0  0
 5  0      0 2230956  33824 662524    0    0     0    44 7826  521  0 52 48  0  0
 6  0      0 2230956  33824 662524    0    0     0     0 9015  532  1 51 49  0  0
 6  0      0 2230956  33832 662516    0    0     0    28 9162  546  0 52 48  0  0
 7  0      0 2230956  33832 662524    0    0     0     4 9249  559  0 51 49  0  0
 7  0      0 2230956  33832 662524    0    0     0     0 9091  533  0 51 49  0  0
 5  0      0 2230480  33832 662524    0    0     0     0 9644  557  1 51 48  0  0
 6  0      0 2230480  33832 662524    0    0     0     0 11425  525  0 51 49  0  0
 2  0      0 2253344  33832 662532    0    0     0     0 1801 1163  2 43 55  0  0
 1  0      0 2228092  33840 662548    0    0     0    24 1470 1172  2 55 43  0  0
 4  0      0 2255420  33840 662556    0    0     0     4 8953  602  0 53 47  0  0
 5  0      0 2255420  33840 662556    0    0     0    36 11864  540  1 51 49  0  0
 4  0      0 2255420  33840 662556    0    0     0     0 11775  530  0 51 49  0  0
 5  0      0 2255420  33840 662556    0    0     0     0 12035  520  1 51 49  0  0
 6  0      0 2255420  33848 662548    0    0     0    52 11824  529  0 51 49  0  0
 5  0      0 2255168  33848 662556    0    0     0     0 12376  543  0 51 49  0  0
 5  0      0 2255168  33848 662556    0    0     0     4 11897  540  1 51 49  0  0
 5  0      0 2255168  33848 662556    0    0     0     0 12413  537  0 51 49  0  0
 1  0      0 2242164  33848 662568    0    0     0     0 3187 1083  1 53 46  0  0
 6  0      0 2243716  33848 662580    0    0     0     0 1280 1085  1 53 47  0  0
 2  0      0 2253576  33856 662596    0    0     0    16 3437  901  1 52 47  0  0
 3  0      0 2253576  33856 662596    0    0     0     0 10826  496  0 51 49  0  0
 3  0      0 2253576  33856 662596    0    0     0     4 12170  531  1 51 49  0  0
 4  0      0 2253576  33856 662596    0    0     0   104 12475  508  1 51 49  0  0
 5  0      0 2253576  33856 662596    0    0     0     0 12172  492  0 51 49  0  0
 7  0      0 2253576  33864 662604    0    0     0    44 11683  507  0 51 49  0  0
 5  0      0 2244284  33864 662612    0    0     0     0 5576 1016  1 46 53  0  0
 2  0      0 2222868  33864 662620    0    0     0     0 5596  777  1 59 41  0  0
 3  0      0 2222868  33864 662620    0    0     0    16 12059  524  0 51 49  0  0
 3  0      0 2222868  33864 662620    0    0     0     0 11998  530  1 51 49  0  0
 2  0      0 2231588  33872 662628    0    0     0    24 5033  979  1 49 51  0  0
 1  0      0 2228308  33872 662640    0    0     0    36 1351 1094  2 41 57  0  0
 2  0      0 2235420  33872 662664    0    0     0     0 1426 1111  1 41 59  0  0
 2  0      0 2226536  33872 662672    0    0     0     0 1373 1097  2 49 50  0  0
 4  0      0 2245504  33872 662684    0    0     0     4 7286  723  1 48 52  0  0
 4  0      0 2245504  33880 662684    0    0     0    44 10563  118  0 66 34  0  0
 5  0      0 2245504  33880 662684    0    0     0    52 11742  532  1 51 48  0  0
 5  0      0 2244608  33880 662684    0    0     0     0 12371  529  1 50 49  0  0
 9  0      0 2244608  33880 662684    0    0     0     0 12161  528  1 51 49  0  0
 8  0      0 2244356  33880 662684    0    0     0     8 12385  526  1 51 48  0  0
 8  0      0 2244356  33888 662684    0    0     0    44 12517  543  0 51 49  0  0
 8  0      0 2244356  33888 662684    0    0     0     0 11998  517  1 50 48  0  0
 9  0      0 2243628  33888 662684    0    0     0     4 11974  415  1 66 33  0  0
 9  0      0 2243628  33888 662684    0    0     0     0 12382  522  0 51 49  0  0
 1  0      0 2238844  33892 664480    0    0  1828     0 10909  711  2 58 40  1  0
 2  0      0 2196500  34032 677228    0    0 12588   292 1394 1715 26 33 36  5  0
 4  0      0 2191460  34056 677580    0    0   284   136 10644 1480  2 52 45  1  0
 5  0      0 2183672  34436 679116    0    0  1424     0 12956 1132  4 69 24  3  0
 5  0      0 2183920  34436 679212    0    0     0     0 12027  598  0 51 49  0  0
20  0      0 2183924  34436 679236    0    0    24     0 12996  502  0 64 36  0  0
29  0      0 2183924  34436 679252    0    0    16    20 30813  614  0 81 19  0  0
 5  0      0 2246092  34444 679452    0    0   128    72 6671  685  1 34 66  0  0
 2  0      0 2230132  34444 679456    0    0     0   380 7767  872  1 51 48  0  0
 4  0      0 2230132  34444 679456    0    0     0    12 12137  535  0 51 49  0  0
 5  0      0 2227428  34444 679460    0    0     0   116 12133  545  0 51 49  0  0
 5  0      0 2227428  34444 679460    0    0     0     0 12325  534  1 51 49  0  0
 7  0      0 2227428  34452 679460    0    0     0    60 11765  541  0 51 49  0  0
 8  0      0 2227428  34452 679460    0    0     0     0 12018  521  1 51 49  0  0
 8  0      0 2227428  34452 679460    0    0     0     0 12029  522  0 51 49  0  0
 9  0      0 2227428  34452 679460    0    0     0     4 11956  543  0 51 49  0  0
10  0      0 2227428  34452 679460    0    0     0     0 11920  520  1 51 49  0  0
11  0      0 2227428  34460 679460    0    0     0    12 11901  479  0 58 42  0  0
10  0      0 2227428  34460 679460    0    0     0     4 12151  525  1 51 48  0  0
11  0      0 2227428  34460 679460    0    0     0     0 12464  528  1 50 49  0  0
 9  0      0 2227428  34460 679460    0    0     0     0 11802  520  1 51 49  0  0
 1  0      0 2247204  34468 679452    0    0     0    16 9229  692  1 50 49  0  0
 1  0      0 2235024  34468 679472    0    0     0     0 1199  941  1 32 68  0  0
 2  0      0 2221948  34468 679484    0    0     0     0 1291  934  1 37 62  0  0
 4  0      0 2223692  34468 679492    0    0     0     4 1318  950  1 41 58  0  0
 1  0      0 2235888  34468 679508    0    0     0     0 1371 1075  1 40 59  0  0
 3  0      0 2228244  34468 679512    0    0     0    60 8222  684  1 50 49  0  0
 3  0      0 2228244  34476 679516    0    0     0    28 12743  546  0 51 49  0  0
 4  0      0 2228244  34476 679516    0    0     0     0 12327  519  0 51 49  0  0
 5  0      0 2228244  34476 679516    0    0     0     0 12243  448  0 60 40  0  0
 5  0      0 2228244  34476 679516    0    0     0     4 11850  528  0 51 49  0  0
 5  0      0 2228244  34476 679520    0    0     0     0 11196  473  0 55 45  0  0
 6  0      0 2228244  34484 679520    0    0     0    16 11897  532  0 51 49  0  0
 7  0      0 2229000  34484 679520    0    0     0     0 12001  532  0 51 49  0  0
 6  0      0 2225640  34484 679520    0    0     0     4 12388  568  0 51 49  0  0
 4  0      0 2224968  34484 679520    0    0     0     0 11752  542  0 51 49  0  0
 4  0      0 2224968  34484 679520    0    0     0     8 11825  567  0 51 49  0  0
 4  0      0 2234960  34492 679520    0    0     0    24 7272  800  1 53 47  0  0
 2  0      0 2232272  34492 679528    0    0     0     0 12464  539  0 51 49  0  0
 4  0      0 2232272  34492 679528    0    0     0    12 12113  542  1 51 49  0  0
 4  0      0 2232272  34492 679528    0    0     0     0 11860  521  0 51 49  0  0
 5  0      0 2232272  34492 679528    0    0     0     0 12153  526  0 51 49  0  0
 5  0      0 2232272  34500 679528    0    0     0    92 11897  548  0 51 49  0  0
 5  0      0 2232272  34500 679528    0    0     0     0 11646  536  0 51 49  0  0
 6  0      0 2232272  34500 679528    0    0     0     0 12112  533  0 51 49  0  0
 7  0      0 2232272  34500 679528    0    0     0     0 12313  532  0 51 49  0  0
 1  0      0 2221492  34500 679528    0    0     0     0 9601  704  0 49 51  0  0
 4  0      0 2214416  34508 679544    0    0     0    80 1308 1105  2 54 44  0  0
 3  0      0 2233768  34508 679560    0    0     0     4 1212 1062  1 57 42  0  0
 3  0      0 2222816  34508 679576    0    0     0     0 1313 1105  2 49 50  0  0
 3  0      0 2219104  34508 679588    0    0     0     0 1278 1080  2 56 42  0  0
 1  0      0 2241176  34508 679604    0    0     0     0 1221 1110  1 48 52  0  0
 4  0      0 2226784  34516 679624    0    0     0    96 1218 1077  1 59 41  0  0
 4  0      0 2226784  34516 679624    0    0     0     0 12552  518  1 51 49  0  0
