timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime
1699617962823,59,HTTP Request L 2,200,OK,Thread Group 1-1,true,468588,123,1,1,50,0
1699617962886,6,HTTP Request L 4,200,OK,Thread Group 1-1,true,160405,123,1,1,4,0
1699617962898,22,HTTP Request M 3,200,OK,Thread Group 1-1,true,1142748,123,1,1,4,0
1699617962921,6,HTTP Request L 2,200,OK,Thread Group 1-1,true,468587,123,1,1,2,0
1699617962933,5,HTTP Request S 2,200,OK,Thread Group 1-1,true,181387,118,1,1,4,0
1699617962946,20,HTTP Request M 4,200,OK,Thread Group 1-1,true,1682666,124,1,1,2,0
1699617962967,4,HTTP Request S 1,200,OK,Thread Group 1-1,true,100262,122,1,1,3,0
1699617962979,5,HTTP Request M 1,200,OK,Thread Group 1-1,true,112444,123,1,1,4,0
1699617962991,20,HTTP Request M 4,200,OK,Thread Group 1-1,true,1682666,124,1,1,2,0
1699617963012,7,HTTP Request S 3,200,OK,Thread Group 1-1,true,189338,123,1,1,4,0
1699617963026,16,HTTP Request M 3,200,OK,Thread Group 1-1,true,1142748,123,1,1,2,0
1699617963043,5,HTTP Request M 2,200,OK,Thread Group 1-1,true,94723,123,1,1,4,0
1699617963056,2,HTTP Request M 1,200,OK,Thread Group 1-1,true,112444,123,1,1,1,0
1699617963068,21,HTTP Request L 1,200,OK,Thread Group 1-1,true,1784374,124,1,1,2,0
1699617963090,18,HTTP Request S 4,200,OK,Thread Group 1-1,true,745927,124,1,1,4,0
1699617963109,16,HTTP Request M 3,200,OK,Thread Group 1-1,true,1142748,123,1,1,1,0
1699617963126,18,HTTP Request M 4,200,OK,Thread Group 1-1,true,1682666,124,1,1,1,0
1699617963145,3,HTTP Request L 4,200,OK,Thread Group 1-1,true,160405,123,1,1,1,0
1699617963156,3,HTTP Request S 3,200,OK,Thread Group 1-1,true,189338,123,1,1,2,0
1699617963170,2,HTTP Request M 1,200,OK,Thread Group 1-1,true,112444,123,1,1,1,0
1699617963181,2,HTTP Request L 4,200,OK,Thread Group 1-1,true,160405,123,1,1,1,0
1699617963193,15,HTTP Request M 3,200,OK,Thread Group 1-1,true,1142748,123,1,1,2,0
1699617963209,2,HTTP Request S 1,200,OK,Thread Group 1-1,true,100262,122,1,1,2,0
