r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7
1,0,0,2343744,34108,646516,0,0,4557,301,800,9,11,13,74,1,0,"-7,495896727","0,2328116035","2,533018409","0,4161347474","-2,085929823","1,6191853803","2,8961953214"
1,0,0,2343744,34108,646592,0,0,32,4,289,640,1,1,99,0,0,"-7,848780766","-1,098584824","2,4193874877","-1,667544571","-0,682401225","0,6427081745","-1,915756318"
1,0,0,2343744,34108,646592,0,0,0,0,141,254,1,0,99,0,0,"-8,196836254","-2,046499376","2,0916807915","-0,223279198","-0,841396961","1,4982259075","-0,403421696"
1,0,0,2342736,34120,647560,0,0,960,76,244,352,0,2,98,0,0,"-8,058555754","-1,753716229","2,0255162551","-0,543192996","-0,626256264","1,2538262943","-0,785111441"
1,0,0,2340524,34120,649152,0,0,1584,0,245,291,0,2,98,1,0,"-8,373214447","-0,665466247","2,0939986457","-1,080014022","-0,739196746","1,5762795699","1,2011652531"
1,0,0,2339012,34120,650852,0,0,1868,0,247,287,0,3,97,0,0,"-8,063274167","-1,831096598","1,9078402709","-0,277937785","-0,630314263","1,3726629209","-0,502930386"
2,0,0,2325516,34124,663544,0,0,12568,4,616,300,0,12,88,0,0,"-7,459886401","-0,789956294","1,3996621341","0,2737017489","-0,506627202","1,6819487627","-0,676138028"
2,0,0,2287912,34124,699688,0,0,36016,4,1252,825,1,36,63,0,0,"-5,935839608","2,5199740119","0,9130653416","-0,966685451","0,276355339","-0,017522558","-2,084284692"
4,0,0,2244904,34132,741940,0,0,42192,0,1498,641,1,46,53,1,0,"-5,375895771","4,4363334976","0,2884323417","-0,184797609","0,0136212758","1,3127072624","-0,192470089"
3,0,0,2150184,34140,834040,0,0,91992,20,2581,634,0,100,0,0,0,"-2,959548115","7,2633753213","-2,237647749","1,9405349555","1,9521390719","-0,64341009","-0,189894459"
5,0,0,2058124,34140,920400,0,0,86024,0,2374,598,0,93,7,0,0,"-2,563752563","6,9619203224","-2,186919097","2,3715968642","1,4987538754","0,6060786137","-0,946946193"
4,0,0,1974912,34156,1001328,0,0,80788,176,2233,563,1,82,17,1,0,"-3,163073338","7,0689078313","-1,44484948","1,0836306419","1,3444058115","0,6346558094","1,2326240864"
5,0,0,1907464,34156,1061416,0,0,59984,0,1797,534,1,78,22,0,0,"-2,559743566","5,1085135438","-1,378852488","1,875978165","0,8714687153","0,8932738683","-1,134256759"
6,0,0,1881004,34156,1076720,0,0,15160,4,1330,608,0,78,22,0,0,"-1,890522082","4,2047700849","-1,002216021","1,4779488109","-0,002595562","0,6152777445","-2,577395473"
1,0,0,1870520,34156,1114908,0,0,38136,8,1544,420,0,41,59,0,0,"-4,806037459","1,0764319417","0,2205250459","0,056786927","0,8785951082","0,047089244","0,2315325327"
2,0,0,1835548,34160,1148976,0,0,34176,0,1445,326,1,35,64,1,0,"-5,016727074","1,8752488309","0,5174869752","-0,258907478","0,353135115","1,0896206634","1,8840766711"
1,0,0,1806624,34168,1177824,0,0,28528,48,1280,348,0,24,76,0,0,"-5,333443239","-0,417340829","0,8175531487","-0,213818206","0,5798609788","0,6701534233","0,2538686774"
1,0,0,1772608,34168,1211624,0,0,33856,0,1481,353,0,27,73,0,0,"-5,107159204","-0,134450742","0,6380496981","-0,139638338","0,7265904264","0,6068465065","0,3756386176"
2,0,0,1728648,34172,1252400,0,0,40696,0,1522,372,0,32,67,1,0,"-4,821085567","1,8171391143","0,4539496461","-0,535739791","0,6922260527","1,1575191164","1,824644877"
1,0,0,1662992,34172,1316724,0,0,64108,8,2603,408,0,53,47,0,0,"-3,683790507","2,1606076145","-0,567784173","0,4832565512","1,62341302","-0,095250755","0,9802620369"
1,0,0,1662752,34172,1316800,0,0,44,0,234,281,0,1,99,0,0,"-5,776570118","-2,816966814","1,8121861692","-0,917730621","-0,036523332","1,2155229978","-0,090311493"
1,0,0,1662500,34180,1316844,0,0,0,160,223,294,0,1,99,0,0,"-5,754443262","-2,787281736","1,8587130058","-0,956993661","-0,00426939","1,1937943685","-0,141036315"
1,0,0,1650688,34180,1317344,0,0,532,124,427,401,1,24,75,0,0,"-4,549266342","-1,123197046","1,2873315538","-0,828150558","0,1396376141","0,1316218127","-0,314586316"
3,0,0,1631284,34184,1332208,0,0,14900,20,808,478,0,26,73,1,0,"-4,324631402","1,161710227","0,9543690046","-1,126551317","0,136958149","1,3042749402","0,572419245"
4,0,0,1595140,34184,1373736,0,0,41380,0,1328,791,0,91,8,1,0,"-1,014333607","6,5910349402","-1,284696905","-0,322194301","1,272147199","-0,818425677","-0,055129911"
5,0,0,1526356,34184,1430672,0,0,56916,12,2071,991,0,94,3,3,0,"-0,856729287","10,283648459","-1,229731102","-2,09387353","1,3196904098","-0,344975591","2,5909841409"
8,0,0,1440564,34184,1508828,0,0,77880,0,2317,978,1,95,2,2,0,"0,182853993","10,294449727","-1,863626393","-0,254219875","1,2597653568","1,2843861086","0,1585301805"
6,0,0,1382484,34192,1579840,0,0,70856,28,2122,779,1,99,0,1,0,"0,3030661243","8,0559839532","-2,052402222","0,6174114175","1,6104731372","0,2705471978","-0,058733854"
2,0,0,1304476,34192,1646648,0,0,66628,0,1963,707,1,91,7,2,0,"-0,885440221","7,5692196801","-1,320750619","-1,336649615","2,0795093986","-1,289221534","3,449971663"
