r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7
2,0,0,2308824,39948,651496,0,0,10872,521,1726,19,22,30,45,2,0,"10,10828395","-0,94776913","2,211334246","2,8263509362","-4,445103477","-0,567810888","2,8845921312"
1,0,0,2308824,39948,651692,0,0,160,0,527,1238,2,2,96,0,0,"9,9493531192","-6,756887691","2,6611655577","-1,111710278","2,4260777063","-4,434310157","1,973475799"
2,0,0,2308824,39948,651708,0,0,0,4,254,477,0,0,100,0,0,"9,3502316291","-8,564969375","1,2008637516","-1,005854897","1,0646672982","-3,146379018","2,8641537677"
2,0,0,2287996,39956,676440,0,0,24688,116,903,731,1,28,71,1,0,"9,8970582345","-2,999589767","-0,296703513","-0,924131763","0,7357758116","-1,019267157","2,2047170969"
1,0,0,2287772,39956,676468,0,0,0,3864,307,468,0,2,98,0,0,"12,39545321","-10,8277077","6,2632526458","2,447659596","-0,815349067","6,1919178187","-6,465655151"
2,0,0,2214860,39960,744912,0,0,68376,0,2031,789,0,71,28,1,0,"9,0436736701","4,0596544084","-3,890379484","-1,707825135","-1,210693838","2,391396224","2,448925854"
2,0,0,2160180,39964,799420,0,0,54440,8,2308,583,0,46,54,1,0,"8,3596728243","0,2835169791","-2,501646115","-1,876845754","-0,261375328","0,9978811224","2,2784312109"
2,0,0,2104684,39964,843252,0,0,43704,0,2118,683,1,61,38,0,0,"6,3946795721","1,6637295888","-2,365654094","-1,473504636","-1,683559617","0,9238013475","1,7170536838"
3,0,0,2006828,39968,935184,0,0,91720,8,2738,1033,1,89,8,3,0,"7,9004185297","9,8706811684","-5,077159221","-1,769715173","0,0779623456","3,6590783415","0,7121690786"
4,0,0,1949108,39976,988864,0,0,53400,72,2316,831,0,52,46,2,0,"6,1525424603","3,0400938212","-2,44812037","-1,200206277","1,2843317425","0,9149677048","0,2504147652"
4,0,0,1925180,39976,1027680,0,0,38784,0,2827,1024,0,83,13,4,0,"5,3357041519","8,6839553468","-3,120020254","-0,510361463","1,5611327737","1,434606846","-1,366549028"
5,0,0,1925180,39976,1027680,0,0,0,0,9317,543,0,51,49,0,0,"1,1054760386","-0,813305363","-1,013974691","0,4801750906","-0,123065169","-0,414329645","0,114273351"
5,0,0,1925180,39976,1027680,0,0,0,0,9186,607,1,51,48,0,0,"1,1925486674","-0,566025858","-0,790528621","0,6184308225","-0,135350961","-0,595635865","0,0943283032"
