r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7
3,0,0,2291512,38472,695332,0,0,7217,459,1278,18,18,25,52,5,0,"-1,654050572","-0,08781583","-2,611793824","-0,70613539","-0,779947658","-1,979710979","0,6294665749"
1,0,0,2291512,38472,695332,0,0,0,0,1140,2888,4,3,93,0,0,"-0,190624219","-0,558995174","-6,012373737","-0,680899738","-2,727412521","2,8316538598","2,50381735"
1,0,0,2291512,38472,695412,0,0,0,0,393,907,1,1,99,0,0,"-0,500908956","-2,137223718","-5,522038728","-1,207315768","-1,392001392","-0,399717757","1,6025585039"
1,0,0,2291512,38472,695412,0,0,0,0,148,305,0,0,100,0,0,"-0,614120732","-2,613243743","-5,373005913","-1,362726126","-0,989430225","-1,382493738","1,3354569571"
1,0,0,2291512,38472,695412,0,0,0,0,152,299,0,0,100,0,0,"-0,61491955","-2,617891832","-5,370108141","-1,363917495","-0,985008247","-1,391865337","1,3322948992"
4,0,0,2256316,38480,726264,0,0,30728,0,1085,597,1,47,38,15,0,"-1,27418407","4,0244759092","-2,113947099","-0,267963987","-1,829602366","-3,002528896","0,3816660966"
5,0,0,2215968,38488,764816,0,0,38588,104,1350,626,1,86,1,12,0,"-1,380224242","6,027636453","0,8872564457","0,0905775889","-1,609867534","-2,581311268","-0,995238976"
3,0,0,2173828,38488,803604,0,0,38584,0,1309,614,1,86,1,12,0,"-1,605573784","5,9799842791","0,4780035984","-0,180623665","-1,558740729","-2,484370077","-1,644100777"
2,0,0,2136848,38488,837500,0,0,33920,0,1213,604,0,61,27,12,0,"-1,462023392","4,3631505377","-1,416694998","-0,475995337","-1,647575836","-2,614226446","-0,812070969"
4,0,0,2097652,38492,862952,0,0,25476,0,1299,674,0,78,14,8,0,"-1,069095053","4,2955203802","0,2906765185","-0,158999024","-1,19387004","-1,581902714","-1,080661148"
4,0,0,2083408,38492,898756,0,0,35664,0,1864,1550,2,87,1,9,0,"-1,117262139","6,0720207359","0,6606837259","0,1862625412","-2,005590028","-0,641506014","-0,892810592"
8,0,0,2026336,38500,931692,0,0,32740,32,1608,2115,3,92,1,4,0,"-0,399125474","5,8459518384","1,8336595427","0,8144114346","-2,224724063","0,6113791281","0,5150827373"
4,2,0,2015964,38500,963824,0,0,32204,4,2201,2278,4,88,0,8,0,"-1,141224885","8,713208411","-1,239567505","0,3240254245","4,2200885024","1,3886453143","1,3876463084"
3,0,0,1954240,38500,998632,0,0,34772,0,1781,1877,5,88,0,7,0,"-1,217224268","5,9643847285","0,6031751073","0,1375110585","-2,10032852","0,1804738413","-1,035567758"
3,1,0,1958088,38500,1020400,0,0,21568,0,2103,2183,6,56,2,37,0,"-1,88884691","9,9937484005","-3,659837362","0,4578545691","0,6462121742","-0,838285439","0,6313478106"
4,0,0,1924124,38500,1032828,0,0,12536,0,1510,2292,7,74,2,18,0,"-1,121606148","6,3364697812","-0,688180626","0,4216751954","-2,000142683","1,079127036","-0,585594955"
4,0,0,1886704,38500,1048116,0,0,15136,12,915,2218,5,80,7,8,0,"-0,866445443","5,0839112382","0,0417538105","0,2557757138","-1,842645374","1,5523362086","-0,596011277"
