Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7
"-10,49632901","-2,265953872","0,7886678249","-1,128902853","0,2052944598","0,7265252986","1,574677946"
"-8,135828281","-0,722531683","1,2990516673","-1,152794966","0,3884789563","0,5939775941","-0,464997322"
"-10,36321456","1,4304126516","-0,451064409","-0,86590124","-2,809324769","-4,582675998","3,7905676251"
"-11,74695203","-4,030203954","-4,166785788","15,168940432","0,5185554675","-0,628350502","-2,038470035"
"-0,399125474","5,8459518384","1,8336595427","0,8144114346","-2,224724063","0,6113791281","0,5150827373"
"-1,380224242","6,027636453","0,8872564457","0,0905775889","-1,609867534","-2,581311268","-0,995238976"
"-0,899944373","5,4109380518","3,1647933895","0,9500878484","-2,173975437","-3,183675336","1,1320653655"
"-1,141224885","8,713208411","-1,239567505","0,3240254245","4,2200885024","1,3886453143","1,3876463084"
"-1,88884691","9,9937484005","-3,659837362","0,4578545691","0,6462121742","-0,838285439","0,6313478106"
"-1,971299762","10,395327559","-4,005536927","-0,404663816","11,687171068","0,5211720098","1,8992475546"
"-0,61491955","-2,617891832","-5,370108141","-1,363917495","-0,985008247","-1,391865337","1,3322948992"
"-1,654050572","-0,08781583","-2,611793824","-0,70613539","-0,779947658","-1,979710979","0,6294665749"
"-0,190624219","-0,558995174","-6,012373737","-0,680899738","-2,727412521","2,8316538598","2,50381735"
"-0,419484352","2,8377859636","1,4932978928","0,7303320895","-0,962443051","2,4494702132","0,0851223799"
"1,1143535831","0,8719471282","0,2076147037","0,6959442981","-0,947289873","2,1899052728","1,3235443547"
"-0,031719365","0,1559517104","-0,477102596","-0,349234967","-0,135490174","0,2225974801","-0,646767552"
"0,7665237431","-0,476047027","0,2021480716","0,0451902032","0,1629216303","-0,175691954","0,0069015534"
"0,6846775329","-0,466474517","-0,039655246","-0,090869913","0,1535620826","-0,0848841","-0,313644605"
"-0,556790691","0,6196690831","0,9191733447","0,2021887819","-0,019712844","0,192129201","-0,195615501"
"0,9391097985","-0,510807769","0,5451585885","0,2193858622","0,2695612072","-0,220013314","0,3550650078"
