Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7
"-0,34365861","-0,670342441","-1,340568464","1,9566577884","0,5341741139","-0,156939373","0,2173531144"
"2,0723549075","-2,117076975","0,8024640117","3,3069677369","-0,281562214","4,0085919742","-3,672983025"
"-1,245484511","0,0508037692","1,8470631534","-1,042753894","0,7891477751","1,4264478576","1,6163652076"
"-2,200395395","4,0474806014","-2,749670981","0,2346465751","-3,380341741","2,6103377707","-0,162302011"
"0,1312616373","3,040362543","0,8442793105","1,9367077553","-1,25803005","-0,606142182","0,1855328285"
"-0,630612816","-0,262072919","0,1248595371","-0,665095585","-0,186545628","-0,102893637","-0,203198865"
"-0,950392533","-0,448311327","-0,312114569","0,6770361496","0,6151720682","0,4988240226","0,1126101238"
"0,1486642204","0,1929375584","0,1672895752","-0,59601462","-0,52404166","-0,6396781","-0,438117696"
"0,6065316931","0,3641279716","-1,039139177","0,9977680321","0,6553561904","-0,243408061","-0,376626725"
"1,9967927322","3,6291667039","0,9854394808","1,3333276188","1,9041840151","-1,039159634","-0,50894916"
"9,3502316291","-8,564969375","1,2008637516","-1,005854897","1,0646672982","-3,146379018","2,8641537677"
"9,8970582345","-2,999589767","-0,296703513","-0,924131763","0,7357758116","-1,019267157","2,2047170969"
"10,10828395","-0,94776913","2,211334246","2,8263509362","-4,445103477","-0,567810888","2,8845921312"
"12,39545321","-10,8277077","6,2632526458","2,447659596","-0,815349067","6,1919178187","-6,465655151"
"7,9004185297","9,8706811684","-5,077159221","-1,769715173","0,0779623456","3,6590783415","0,7121690786"
"4,14787498","3,4017750945","-0,848041577","-0,696231517","0,6030493571","0,228556805","-1,553129214"
"6,3946795721","1,6637295888","-2,365654094","-1,473504636","-1,683559617","0,9238013475","1,7170536838"
"1,4680471147","6,6461539181","7,0250329472","3,4404982082","-1,978931717","0,0732198879","0,0649388194"
"0,6273873717","6,2868546995","4,0546551388","3,6128442617","-6,367648181","-2,56218398","1,0672262431"
"4,1602967743","10,648788534","4,2022697543","-0,056377469","8,9738626354","-2,415445843","-3,329093788"
