procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 2348044  36112 650604    0    0  8469   422 1380   17 25 31 42  2  0
 1  0      0 2348044  36112 650796    0    0   128     0  377  862  1  0 99  0  0
 1  0      0 2348044  36112 650836    0    0    32     0  358  707  1  0 99  0  0
 1  0      0 2348044  36112 650836    0    0     0     4  195  364  0  0 100  0  0
 2  0      0 2326884  36116 672424    0    0 21636    40 1036  422  0 24 76  0  0
 2  0      0 2276572  36128 721960    0    0 49284    60 2071  482  1 53 46  0  0
 3  0      0 2190696  36132 799192    0    0 77060     0 2209  723  1 90 10  0  0
 1  0      0 2169780  36132 820332    0    0 21128     0  713  511  0 20 79  1  0
 2  0      0 2166000  36132 823904    0    0  3716     0  359  446  0  4 96  0  0
 2  0      0 2117872  36132 871864    0    0 47752     0 2076  513  0 52 48  0  0
 4  0      0 2042888  36140 946116    0    0 74188    40 2734 1626  4 79 16  1  0
 5  0      0 1987536  36140 990064    0    0 43392     0 2191 3494  6 92  2  0  0
 2  0      0 1941716  36140 1017556    0    0 27380     0 1242 1284  3 77 20  1  0
 3  0      0 1948904  36140 1020228    0    0  2568   108 4086 1248  3 58 39  0  0
 3  0      0 1948904  36140 1020228    0    0     0     0 10347  532  0 51 49  0  0
 3  0      0 1948652  36140 1020228    0    0     0     0 9844  531  0 52 48  0  0
 5  0      0 1948652  36148 1020228    0    0     0    36 10421  545  0 52 48  0  0
 6  0      0 1948652  36148 1020228    0    0     0   296 9969  559  1 51 48  0  0
 6  0      0 1948652  36148 1020228    0    0     0     0 10208  557  1 51 48  0  0
 6  0      0 1948652  36148 1020228    0    0     0     0 10829  535  1 51 48  0  0
 7  0      0 1948652  36148 1020228    0    0     0  7356 10804  559  1 52 47  0  0
 8  0      0 1948652  36148 1020228    0    0     0  1476 10373  527  1 51 48  0  0
 8  0      0 1948400  36156 1020228    0    0     0    28 9963  538  1 52 48  0  0
 8  0      0 1948400  36156 1020228    0    0     0     0 10721  530  0 52 48  0  0
 8  0      0 1948400  36156 1020228    0    0     0     0 10093  541  1 51 48  0  0
 9  0      0 1948400  36156 1020228    0    0     0     0 10629  514  0 51 49  0  0
 9  0      0 1948400  36156 1020228    0    0     0     0 10405  524  1 51 48  0  0
