procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 2343744  34108 646516    0    0  4557   301  800    9 11 13 74  1  0
 1  0      0 2343744  34108 646592    0    0    32     4  289  640  1  1 99  0  0
 1  0      0 2343744  34108 646592    0    0     0     0  141  254  1  0 99  0  0
 1  0      0 2342736  34120 647560    0    0   960    76  244  352  0  2 98  0  0
 1  0      0 2340524  34120 649152    0    0  1584     0  245  291  0  2 98  1  0
 1  0      0 2339012  34120 650852    0    0  1868     0  247  287  0  3 97  0  0
 2  0      0 2325516  34124 663544    0    0 12568     4  616  300  0 12 88  0  0
 2  0      0 2287912  34124 699688    0    0 36016     4 1252  825  1 36 63  0  0
 4  0      0 2244904  34132 741940    0    0 42192     0 1498  641  1 46 53  1  0
 3  0      0 2150184  34140 834040    0    0 91992    20 2581  634  0 100  0  0  0
 5  0      0 2058124  34140 920400    0    0 86024     0 2374  598  0 93  7  0  0
 4  0      0 1974912  34156 1001328    0    0 80788   176 2233  563  1 82 17  1  0
 5  0      0 1907464  34156 1061416    0    0 59984     0 1797  534  1 78 22  0  0
 6  0      0 1881004  34156 1076720    0    0 15160     4 1330  608  0 78 22  0  0
 1  0      0 1870520  34156 1114908    0    0 38136     8 1544  420  0 41 59  0  0
 2  0      0 1835548  34160 1148976    0    0 34176     0 1445  326  1 35 64  1  0
 1  0      0 1806624  34168 1177824    0    0 28528    48 1280  348  0 24 76  0  0
 1  0      0 1772608  34168 1211624    0    0 33856     0 1481  353  0 27 73  0  0
 2  0      0 1728648  34172 1252400    0    0 40696     0 1522  372  0 32 67  1  0
 1  0      0 1662992  34172 1316724    0    0 64108     8 2603  408  0 53 47  0  0
 1  0      0 1662752  34172 1316800    0    0    44     0  234  281  0  1 99  0  0
 1  0      0 1662500  34180 1316844    0    0     0   160  223  294  0  1 99  0  0
 1  0      0 1650688  34180 1317344    0    0   532   124  427  401  1 24 75  0  0
 3  0      0 1631284  34184 1332208    0    0 14900    20  808  478  0 26 73  1  0
 4  0      0 1595140  34184 1373736    0    0 41380     0 1328  791  0 91  8  1  0
 5  0      0 1526356  34184 1430672    0    0 56916    12 2071  991  0 94  3  3  0
 8  0      0 1440564  34184 1508828    0    0 77880     0 2317  978  1 95  2  2  0
 6  0      0 1382484  34192 1579840    0    0 70856    28 2122  779  1 99  0  1  0
 2  0      0 1304476  34192 1646648    0    0 66628     0 1963  707  1 91  7  2  0
 2  0      0 1234924  34192 1716044    0    0 69120     0 2768  424  0 54 46  0  0
 3  0      0 1221376  34192 1746720    0    0 30688     4 1751  563  1 66 33  0  0
 5  0      0 1198336  34192 1746720    0    0     0     4 1233  481  0 80 20  0  0
 4  0      0 1198336  34192 1746720    0    0     0     0 10935  465  0 51 49  0  0
 4  0      0 1198336  34200 1746720    0    0     0    16 11117  488  1 51 49  0  0
 6  0      0 1198336  34200 1746720    0    0     0     0 12098  470  0 51 49  0  0
 5  0      0 1198336  34200 1746720    0    0     0     0 11822  484  1 51 49  0  0
