procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 2308824  39948 651496    0    0 10872   521 1726   19 22 30 45  2  0
 1  0      0 2308824  39948 651692    0    0   160     0  527 1238  2  2 96  0  0
 2  0      0 2308824  39948 651708    0    0     0     4  254  477  0  0 100  0  0
 2  0      0 2287996  39956 676440    0    0 24688   116  903  731  1 28 71  1  0
 1  0      0 2287772  39956 676468    0    0     0  3864  307  468  0  2 98  0  0
 2  0      0 2214860  39960 744912    0    0 68376     0 2031  789  0 71 28  1  0
 2  0      0 2160180  39964 799420    0    0 54440     8 2308  583  0 46 54  1  0
 2  0      0 2104684  39964 843252    0    0 43704     0 2118  683  1 61 38  0  0
 3  0      0 2006828  39968 935184    0    0 91720     8 2738 1033  1 89  8  3  0
 4  0      0 1949108  39976 988864    0    0 53400    72 2316  831  0 52 46  2  0
 4  0      0 1925180  39976 1027680    0    0 38784     0 2827 1024  0 83 13  4  0
 5  0      0 1925180  39976 1027680    0    0     0     0 9317  543  0 51 49  0  0
 5  0      0 1925180  39976 1027680    0    0     0     0 9186  607  1 51 48  0  0
 5  0      0 1925180  39976 1027696    0    0     0     0 7814  557  1 52 48  0  0
 7  0      0 1925180  39984 1027688    0    0     0    48 7168  575  1 52 48  0  0
 8  0      0 1925180  39984 1027696    0    0     0     0 6954  553  1 52 48  0  0
 8  0      0 1923588  39984 1027696    0    0     0     0 8526  555  1 51 48  0  0
 6  0      0 1923588  39984 1027696    0    0     0   408 11180  584  1 51 48  0  0
 6  0      0 1923588  39984 1027696    0    0     0     0 11554  543  0 51 49  0  0
 7  0      0 1923588  39984 1027696    0    0     0  1728 11717  545  0 51 49  0  0
 7  0      0 1923588  39992 1027696    0    0     0    20 11882  555  0 51 49  0  0
 8  0      0 1923588  39992 1027696    0    0     0     0 11878  548  1 51 49  0  0
 3  0      0 1893008  39992 1047996    0    0 20224   248 2261  863  1 60 38  2  0
 5  0      0 1879424  39992 1069424    0    0 21504     0  919  809  1 75 23  1  0
 4  0      0 1873656  39992 1071064    0    0  1536     0 6845  437  1 53 46  1  0
 5  0      0 1873656  40000 1071060    0    0     0    16 10397  567  0 51 49  0  0
 5  0      0 1873656  40000 1071060    0    0     0     4 11652  550  0 51 49  0  0
 4  0      0 1855404  40000 1078328    0    0  7296     4 8577  723  0 57 43  0  0
 5  0      0 1852492  40000 1078372    0    0     0     4 7508  554  0 51 49  0  0
