procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 2291512  38472 695332    0    0  7217   459 1278   18 18 25 52  5  0
 1  0      0 2291512  38472 695332    0    0     0     0 1140 2888  4  3 93  0  0
 1  0      0 2291512  38472 695412    0    0     0     0  393  907  1  1 99  0  0
 1  0      0 2291512  38472 695412    0    0     0     0  148  305  0  0 100  0  0
 1  0      0 2291512  38472 695412    0    0     0     0  152  299  0  0 100  0  0
 4  0      0 2256316  38480 726264    0    0 30728     0 1085  597  1 47 38 15  0
 5  0      0 2215968  38488 764816    0    0 38588   104 1350  626  1 86  1 12  0
 3  0      0 2173828  38488 803604    0    0 38584     0 1309  614  1 86  1 12  0
 2  0      0 2136848  38488 837500    0    0 33920     0 1213  604  0 61 27 12  0
 4  0      0 2097652  38492 862952    0    0 25476     0 1299  674  0 78 14  8  0
 4  0      0 2083408  38492 898756    0    0 35664     0 1864 1550  2 87  1  9  0
 8  0      0 2026336  38500 931692    0    0 32740    32 1608 2115  3 92  1  4  0
 4  2      0 2015964  38500 963824    0    0 32204     4 2201 2278  4 88  0  8  0
 3  0      0 1954240  38500 998632    0    0 34772     0 1781 1877  5 88  0  7  0
 3  1      0 1958088  38500 1020400    0    0 21568     0 2103 2183  6 56  2 37  0
 4  0      0 1924124  38500 1032828    0    0 12536     0 1510 2292  7 74  2 18  0
 4  0      0 1886704  38500 1048116    0    0 15136    12  915 2218  5 80  7  8  0
 1  4      0 1885908  38508 1071304    0    0 23276    36 1001 1251  2 82  4 13  0
 4  0      0 1840596  38508 1095112    0    0 23700    12 1300 1152  1 73  3 24  0
 3  0      0 1828892  38508 1097612    0    0  2432     0 9428  951  2 53 43  1  0
 4  0      0 1827048  38508 1097612    0    0     0     0 9699 2296  7 53 40  0  0
 5  0      0 1827048  38508 1097612    0    0    32     0 9964 2027  5 52 42  0  0
 5  0      0 1827048  38516 1097636    0    0     0    40 9092 1552  5 51 44  0  0
 6  0      0 1827048  38516 1097644    0    0     0     4 9721 1371  3 51 46  0  0
 7  0      0 1827048  38516 1097672    0    0     0     0 10171  888  1 52 48  0  0
 7  0      0 1825392  38516 1097672    0    0     0     4 9081 1804  4 54 42  0  0
 7  0      0 1824952  38516 1097676    0    0     0     0 9906 1992  4 53 43  0  0
 3  0      0 1834996  38516 1112160    0    0 14464    12 7340 2502  5 59 34  2  0
 2  0      0 1826484  38524 1112236    0    0     0    16 9831 2243  5 54 41  0  0
 3  0      0 1826484  38524 1112236    0    0     0     0 10381 1309  3 52 46  0  0
 4  0      0 1825996  38524 1112236    0    0     0     0 9947 3053  6 53 41  0  0
 5  0      0 1825500  38524 1112236    0    0     0     4 10267 3038  5 54 41  0  0
15  0      0 1825248  38524 1112240    0    0     0   192 18408 1511  2 79 19  0  0
 5  0      0 1792472  38532 1126280    0    0 14016    24 6567 1514  3 61 35  1  0
 3  0      0 1792416  38532 1126292    0    0     0     0 10313 2405  5 56 39  0  0
 3  0      0 1792164  38532 1126292    0    0     0     0 10099 1882  3 53 45  0  0
 3  0      0 1783256  38532 1134980    0    0  8736     4 7987 1397  3 56 40  1  0
 3  0      0 1789128  38532 1140768    0    0  5708     0 9357  920  2 54 44  1  0
 3  0      0 1789128  38540 1140760    0    0     0    32 10381  512  1 51 49  0  0
 3  0      0 1789128  38540 1140768    0    0     0     0 10477  489  0 51 49  0  0
 4  0      0 1789128  38540 1140768    0    0     0     0 10350  739  1 51 48  0  0
 4  0      0 1789128  38540 1140768    0    0     0     0 9174  490  0 51 49  0  0
 4  0      0 1789128  38540 1140768    0    0     0     4 10103  494  0 51 49  0  0
 4  0      0 1789128  38540 1140768    0    0     0     4 9801  489  1 51 49  0  0
 5  0      0 1787784  38548 1140760    0    0     0    12 10633  498  0 51 49  0  0
 6  0      0 1787784  38548 1140760    0    0     0     0 10699  490  0 51 49  0  0
 6  0      0 1787784  38548 1140760    0    0     0     0 10154  478  0 51 49  0  0
 3  0      0 1794644  38548 1149592    0    0  8796     0 7278  652  0 55 44  1  0
 5  0      0 1794644  38548 1149596    0    0     0     8 11026  491  0 51 49  0  0
 5  0      0 1794644  38556 1149596    0    0     0    28 10587  563  1 51 49  0  0
 5  0      0 1793300  38556 1149596    0    0     0     0 10545  496  0 51 49  0  0
 5  0      0 1793300  38556 1149596    0    0     0     0 11053  472  0 51 49  0  0
 8  0      0 1793300  38556 1149596    0    0     0     4 11218  489  0 51 49  0  0
 2  0      0 1786492  38556 1149600    0    0     0     0 8188  576  0 52 48  0  0
 2  0      0 1779772  38564 1149604    0    0     0    64 10075  336  0 51 49  0  0
 3  0      0 1779772  38564 1149604    0    0     0     0 10487  485  0 51 49  0  0
 3  0      0 1768800  38564 1149604    0    0     0     0 7340  489  1 52 48  0  0
 2  0      0 1768800  38564 1149604    0    0     0     8 10585  472  0 51 49  0  0
 3  0      0 1768800  38564 1149604    0    0     0     8 10175  486  0 51 49  0  0
 2  0      0 1796620  38564 1149604    0    0     0     0 7697  506  0 52 48  0  0
 4  0      0 1796620  38572 1149604    0    0     0    40 10526  516  0 51 49  0  0
 3  0      0 1796620  38572 1149604    0    0     0     0 10527  502  0 51 49  0  0
 4  0      0 1796620  38572 1149604    0    0     0     0 11089  489  0 51 49  0  0
 5  0      0 1796396  38572 1149604    0    0     0     0 10279  488  0 51 49  0  0
 7  0      0 1796144  38572 1149604    0    0     0     4 10470  414  0 62 38  0  0
 7  0      0 1796144  38580 1149596    0    0     0    60 10967  495  1 51 49  0  0
 7  0      0 1796144  38580 1149596    0    0     0     4 10321  491  0 51 49  0  0
 8  0      0 1796144  38580 1149596    0    0     0     0 10169  494  0 51 49  0  0
 8  0      0 1796144  38580 1149596    0    0     0     0 10827  477  0 51 49  0  0
 7  0      0 1796144  38580 1149596    0    0     0     8 10335  487  0 51 49  0  0
 5  0      0 1792560  38588 1149600    0    0     0    12 9960  589  0 51 49  0  0
 6  0      0 1785228  38588 1149584    0    0     0     0 7492  600  0 53 47  0  0
