timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime
1700738227925,86,HTTP Request MH2,200,OK,Thread Group 1-1,true,1046521,122,1,1,67,0
1700738228014,18,HTTP Request MH7,200,OK,Thread Group 1-1,true,937261,122,1,1,4,0
1700738228034,15,HTTP Request MH6,200,OK,Thread Group 1-1,true,855007,122,1,1,3,0
1700738228056,12,HTTP Request MH5,200,OK,Thread Group 1-1,true,830181,122,1,1,3,0
1700738228075,9,HTTP Request MH2,200,OK,Thread Group 1-1,true,1046520,122,1,1,2,0
1700738228094,16,HTTP Request MH1,200,OK,Thread Group 1-1,true,1072802,122,1,1,2,0
1700738228113,13,HTTP Request MH3,200,OK,Thread Group 1-1,true,1188300,122,1,1,2,0
1700738228136,14,HTTP Request MH11,200,OK,Thread Group 1-1,true,990223,122,1,1,2,0
1700738228155,14,HTTP Request MH4,200,OK,Thread Group 1-1,true,899172,122,1,1,2,0
1700738228174,8,HTTP Request MH7,200,OK,Thread Group 1-1,true,937261,122,1,1,2,0
1700738228197,7,HTTP Request MH5,200,OK,Thread Group 1-1,true,830181,122,1,1,1,0
1700738228216,15,HTTP Request MH9,200,OK,Thread Group 1-1,true,966151,122,1,1,2,0
1700738228234,8,HTTP Request MH2,200,OK,Thread Group 1-1,true,1046520,122,1,1,1,0
1700738228254,12,HTTP Request MH6,200,OK,Thread Group 1-1,true,855007,122,1,1,2,0
1700738228275,16,HTTP Request MH3,200,OK,Thread Group 1-1,true,1188300,122,1,1,1,0
1700738228299,11,HTTP Request MH11,200,OK,Thread Group 1-1,true,990223,122,1,1,7,0
1700738228314,13,HTTP Request MH9,200,OK,Thread Group 1-1,true,966151,122,1,1,1,0
1700738228334,10,HTTP Request MH1,200,OK,Thread Group 1-1,true,1072802,122,1,1,2,0
1700738228354,10,HTTP Request MH11,200,OK,Thread Group 1-1,true,990223,122,1,1,2,0
1700738228374,8,HTTP Request MH4,200,OK,Thread Group 1-1,true,899172,122,1,1,1,0
1700738228395,9,HTTP Request MH2,200,OK,Thread Group 1-1,true,1046520,122,1,1,2,0
1700738228414,8,HTTP Request MH11,200,OK,Thread Group 1-1,true,990223,122,1,1,1,0
1700738228434,10,HTTP Request MH6,200,OK,Thread Group 1-1,true,855007,122,1,1,2,0
1700738228455,15,HTTP Request MH4,200,OK,Thread Group 1-1,true,899172,122,1,1,2,0
1700738228474,9,HTTP Request MH2,200,OK,Thread Group 1-1,true,1046520,122,1,1,2,0
1700738228498,9,HTTP Request MH6,200,OK,Thread Group 1-1,true,855007,122,1,1,2,0
1700738228515,12,HTTP Request MH3,200,OK,Thread Group 1-1,true,1188300,122,1,1,1,0
1700738228534,19,HTTP Request MH10,200,OK,Thread Group 1-1,true,974938,122,1,1,4,0
1700738228554,11,HTTP Request MH6,200,OK,Thread Group 1-1,true,855007,122,1,1,2,0
