timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1703672755057,53,HTTP Request S 10,200,OK,Thread Group 1-1,bin,true,,169789,122,1,3,http://192.168.52.128/10.mp4,42,0,31
1703672755057,59,HTTP Request M 1,200,OK,Thread Group 2-1,text,true,,1072803,122,1,3,http://192.168.52.128/23.csv,42,0,31
1703672755113,13,HTTP Request S 8,200,OK,Thread Group 1-1,text,true,,119483,122,1,3,http://192.168.52.128/8.html,10,0,0
1703672755117,30,HTTP Request M 1,200,OK,Thread Group 2-1,text,true,,1072802,122,1,3,http://192.168.52.128/23.csv,1,0,0
1703672755157,4,HTTP Request S 3,200,OK,Thread Group 1-1,bin,true,,42122,121,1,3,http://192.168.52.128/3.jpg,4,0,0
1703672755160,31,HTTP Request M 2,200,OK,Thread Group 2-1,bin,true,,1046520,122,1,3,http://192.168.52.128/24.jpg,5,0,0
1703672755199,4,HTTP Request S 1,200,OK,Thread Group 1-1,text,true,,19766,121,1,3,http://192.168.52.128/1.txt,4,0,0
1703672755204,25,HTTP Request M 9,200,OK,Thread Group 2-1,bin,true,,966151,122,1,3,http://192.168.52.128/31.bmp,3,0,0
1703672755242,22,HTTP Request S 11,200,OK,Thread Group 1-1,text,true,,194661,123,1,3,http://192.168.52.128/11.xlsx,16,0,0
1703672755246,36,HTTP Request M 6,200,OK,Thread Group 2-1,bin,true,,855007,122,1,3,http://192.168.52.128/28.bmp,15,0,0
1703672755286,9,HTTP Request S 2,200,OK,Thread Group 1-1,bin,true,,43731,121,1,3,http://192.168.52.128/2.mp4,9,0,0
1703672755288,34,HTTP Request M 5,200,OK,Thread Group 2-1,bin,true,,830181,122,1,3,http://192.168.52.128/27.jpg,10,0,0
1703672755328,7,HTTP Request S 9,200,OK,Thread Group 1-1,bin,true,,148144,121,1,3,http://192.168.52.128/9.jpg,5,0,0
