timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime
1700336873013,693,HTTP Request L2,200,OK,Thread Group 1-1,true,34622168,122,1,1,47,0
1700336873708,18,HTTP Request ML11,200,OK,Thread Group 1-1,true,639339,122,1,1,3,0
1700336873900,14,HTTP Request ML1,200,OK,Thread Group 1-2,true,406403,122,2,2,5,0
1700336874109,6,HTTP Request ML1,200,OK,Thread Group 1-1,true,406402,122,2,2,1,0
1700336874701,3,HTTP Request ML1,200,OK,Thread Group 1-2,true,406402,122,2,2,1,0
1700336874910,2,HTTP Request S1,200,OK,Thread Group 1-1,true,19766,121,3,3,2,0
1700336874898,22,HTTP Request MH10,200,OK,Thread Group 1-3,true,974939,122,3,3,4,0
1700336875896,3,HTTP Request S1,200,OK,Thread Group 1-4,true,19767,121,4,4,3,0
1700336875500,410,HTTP Request L1,200,OK,Thread Group 1-2,true,24636578,122,4,4,4,0
1700336876096,8,HTTP Request ML11,200,OK,Thread Group 1-3,true,639339,122,4,4,2,0
1700336876107,274,HTTP Request L2,200,OK,Thread Group 1-1,true,34622167,122,4,4,2,0
1700336876896,16,HTTP Request MH6,200,OK,Thread Group 1-5,true,855008,122,5,5,4,0
1700336877100,11,HTTP Request ML11,200,OK,Thread Group 1-2,true,639339,122,5,5,1,0
1700336877495,11,HTTP Request ML1,200,OK,Thread Group 1-4,true,406402,122,5,5,2,0
1700336877708,8,HTTP Request ML11,200,OK,Thread Group 1-1,true,639339,122,5,5,1,0
1700336877897,12,HTTP Request ML1,200,OK,Thread Group 1-6,true,406403,122,6,6,3,0
1700336878897,2,HTTP Request S1,200,OK,Thread Group 1-5,true,19766,121,7,7,2,0
1700336879100,10,HTTP Request ML11,200,OK,Thread Group 1-2,true,639339,122,7,7,2,0
1700336878896,372,HTTP Request L1,200,OK,Thread Group 1-7,true,24636579,122,7,7,3,0
1700336879495,16,HTTP Request MH6,200,OK,Thread Group 1-4,true,855007,122,7,7,2,0
1700336880298,68,HTTP Request MH10,200,OK,Thread Group 1-6,true,974938,122,8,8,8,0
1700336880897,21,HTTP Request S1,200,OK,Thread Group 1-9,true,19767,121,9,9,21,0
1700336881697,6,HTTP Request ML1,200,OK,Thread Group 1-5,true,406402,122,9,9,1,0
1700336881698,5,HTTP Request S1,200,OK,Thread Group 1-7,true,19766,121,9,9,5,0
1700336877697,4138,HTTP Request L10,200,OK,Thread Group 1-3,true,212695239,122,9,9,4,0
