timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime
1700729940141,48,HTTP Request S11,200,OK,Thread Group 1-1,true,194662,123,1,1,43,0
1700729940191,3,HTTP Request S1,200,OK,Thread Group 1-1,true,19766,121,1,1,3,0
1700729940213,3,HTTP Request S2,200,OK,Thread Group 1-1,true,43731,121,1,1,3,0
1700729940232,3,HTTP Request S5,200,OK,Thread Group 1-1,true,72134,122,1,1,3,0
1700729940252,4,HTTP Request S8,200,OK,Thread Group 1-1,true,119483,122,1,1,3,0
1700729940272,6,HTTP Request S7,200,OK,Thread Group 1-1,true,103954,122,1,1,4,0
1700729940292,4,HTTP Request S6,200,OK,Thread Group 1-1,true,79574,121,1,1,3,0
1700729940311,2,HTTP Request S2,200,OK,Thread Group 1-1,true,43731,121,1,1,2,0
1700729940331,3,HTTP Request S7,200,OK,Thread Group 1-1,true,103954,122,1,1,2,0
1700729940353,2,HTTP Request S2,200,OK,Thread Group 1-1,true,43731,121,1,1,2,0
1700729940372,6,HTTP Request S9,200,OK,Thread Group 1-1,true,148144,121,1,1,4,0
1700729940392,2,HTTP Request S6,200,OK,Thread Group 1-1,true,79574,121,1,1,1,0
1700729940411,3,HTTP Request S3,200,OK,Thread Group 1-1,true,42122,121,1,1,3,0
1700729940431,2,HTTP Request S1,200,OK,Thread Group 1-1,true,19766,121,1,1,2,0
1700729940454,3,HTTP Request S7,200,OK,Thread Group 1-1,true,103954,122,1,1,2,0
1700729940472,4,HTTP Request S4,200,OK,Thread Group 1-1,true,50098,121,1,1,4,0
1700729940492,2,HTTP Request S4,200,OK,Thread Group 1-1,true,50098,121,1,1,1,0
1700729940512,4,HTTP Request S5,200,OK,Thread Group 1-1,true,72134,122,1,1,3,0
1700729940532,3,HTTP Request S11,200,OK,Thread Group 1-1,true,194661,123,1,1,2,0
1700729940553,2,HTTP Request S2,200,OK,Thread Group 1-1,true,43731,121,1,1,2,0
1700729940572,3,HTTP Request S5,200,OK,Thread Group 1-1,true,72134,122,1,1,2,0
1700729940593,3,HTTP Request S6,200,OK,Thread Group 1-1,true,79574,121,1,1,1,0
1700729940611,3,HTTP Request S8,200,OK,Thread Group 1-1,true,119483,122,1,1,2,0
1700729940632,3,HTTP Request S7,200,OK,Thread Group 1-1,true,103954,122,1,1,1,0
1700729940652,2,HTTP Request S1,200,OK,Thread Group 1-1,true,19766,121,1,1,2,0
1700729940671,2,HTTP Request S1,200,OK,Thread Group 1-1,true,19766,121,1,1,2,0
1700729940692,1,HTTP Request S2,200,OK,Thread Group 1-1,true,43731,121,1,1,1,0
1700729940712,2,HTTP Request S7,200,OK,Thread Group 1-1,true,103954,122,1,1,2,0
1700729940732,2,HTTP Request S7,200,OK,Thread Group 1-1,true,103954,122,1,1,1,0
1700729940753,1,HTTP Request S1,200,OK,Thread Group 1-1,true,19766,121,1,1,1,0
1700729940772,3,HTTP Request S8,200,OK,Thread Group 1-1,true,119483,122,1,1,1,0
1700729940792,5,HTTP Request S7,200,OK,Thread Group 1-1,true,103954,122,1,1,3,0
1700729940812,2,HTTP Request S1,200,OK,Thread Group 1-1,true,19766,121,1,1,2,0
1700729940833,4,HTTP Request S9,200,OK,Thread Group 1-1,true,148144,121,1,1,2,0
1700729940854,3,HTTP Request S5,200,OK,Thread Group 1-1,true,72134,122,1,1,2,0
1700729940871,2,HTTP Request S1,200,OK,Thread Group 1-1,true,19766,121,1,1,2,0
1700729940892,5,HTTP Request S10,200,OK,Thread Group 1-1,true,169788,122,1,1,3,0
1700729940912,2,HTTP Request S5,200,OK,Thread Group 1-1,true,72134,122,1,1,1,0
1700729940932,1,HTTP Request S3,200,OK,Thread Group 1-1,true,42122,121,1,1,1,0
1700729940951,2,HTTP Request S10,200,OK,Thread Group 1-1,true,169788,122,1,1,1,0
1700729940972,2,HTTP Request S3,200,OK,Thread Group 1-1,true,42122,121,1,1,1,0
1700729940993,2,HTTP Request S6,200,OK,Thread Group 1-1,true,79574,121,1,1,1,0
1700729941011,4,HTTP Request S7,200,OK,Thread Group 1-1,true,103954,122,1,1,2,0
1700729941031,2,HTTP Request S2,200,OK,Thread Group 1-1,true,43731,121,1,1,2,0
1700729941051,2,HTTP Request S1,200,OK,Thread Group 1-1,true,19766,121,1,1,2,0
1700729941072,2,HTTP Request S3,200,OK,Thread Group 1-1,true,42122,121,1,1,2,0
1700729941093,2,HTTP Request S9,200,OK,Thread Group 1-1,true,148144,121,1,1,1,0
1700729941113,1,HTTP Request S8,200,OK,Thread Group 1-1,true,119483,122,1,1,1,0
1700729941131,1,HTTP Request S3,200,OK,Thread Group 1-1,true,42122,121,1,1,1,0
1700729941153,1,HTTP Request S1,200,OK,Thread Group 1-1,true,19766,121,1,1,1,0
1700729941172,1,HTTP Request S8,200,OK,Thread Group 1-1,true,119483,122,1,1,1,0
1700729941192,4,HTTP Request S11,200,OK,Thread Group 1-1,true,194661,123,1,1,1,0
1700729941211,1,HTTP Request S6,200,OK,Thread Group 1-1,true,79574,121,1,1,1,0
1700729941232,1,HTTP Request S1,200,OK,Thread Group 1-1,true,19766,121,1,1,1,0
1700729941252,3,HTTP Request S11,200,OK,Thread Group 1-1,true,194661,123,1,1,1,0
1700729941273,2,HTTP Request S9,200,OK,Thread Group 1-1,true,148144,121,1,1,1,0
1700729941292,1,HTTP Request S7,200,OK,Thread Group 1-1,true,103954,122,1,1,1,0
1700729941312,1,HTTP Request S1,200,OK,Thread Group 1-1,true,19766,121,1,1,1,0
1700729941331,2,HTTP Request S7,200,OK,Thread Group 1-1,true,103954,122,1,1,1,0
1700729941351,2,HTTP Request S7,200,OK,Thread Group 1-1,true,103954,122,1,1,1,0
1700729941372,3,HTTP Request S10,200,OK,Thread Group 1-1,true,169788,122,1,1,1,0
1700729941391,2,HTTP Request S9,200,OK,Thread Group 1-1,true,148144,121,1,1,2,0
1700729941413,3,HTTP Request S5,200,OK,Thread Group 1-1,true,72134,122,1,1,2,0
1700729941431,4,HTTP Request S9,200,OK,Thread Group 1-1,true,148144,121,1,1,1,0
1700729941453,3,HTTP Request S8,200,OK,Thread Group 1-1,true,119483,122,1,1,1,0
