timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1703690713599,85,HTTP Request2 S 1,200,OK,Thread Group 2-1,text,true,,72135,122,1,8,http://192.168.52.128/5.html,68,0,49
1703690713599,85,HTTP Request5 S 4,200,OK,Thread Group 5-1,text,true,,19767,121,1,8,http://192.168.52.128/1.txt,68,0,48
1703690713689,24,HTTP Request5 S 4,200,OK,Thread Group 5-1,text,true,,19766,121,1,8,http://192.168.52.128/1.txt,14,0,0
1703690713599,161,HTTP Request3 M 1,200,OK,Thread Group 7-1,bin,true,,966152,122,1,8,http://192.168.52.128/31.bmp,68,0,49
1703690713599,203,HTTP Request3 M 1,200,OK,Thread Group 3-1,bin,true,,966152,122,1,8,http://192.168.52.128/31.bmp,69,0,48
1703690713599,226,HTTP Request4 M 2,200,OK,Thread Group 4-1,text,true,,974939,122,1,8,http://192.168.52.128/32.pdf,68,0,49
1703690713799,27,HTTP Request3 S 3,200,OK,Thread Group 7-1,text,true,,194661,123,1,8,http://192.168.52.128/11.xlsx,7,0,0
1703690713599,238,HTTP Request1 M 3,200,OK,Thread Group 1-1,text,true,,1188301,122,1,8,http://192.168.52.128/25.pdf,79,0,48
1703690713803,40,HTTP Request3 S 3,200,OK,Thread Group 3-1,text,true,,194661,123,1,8,http://192.168.52.128/11.xlsx,15,0,0
1703690713599,254,HTTP Request3 M 1,200,OK,Thread Group 6-1,bin,true,,966152,122,1,8,http://192.168.52.128/31.bmp,68,0,48
1703690713838,20,HTTP Request1 S 4,200,OK,Thread Group 1-1,text,true,,50098,121,1,8,http://192.168.52.128/4.csv,14,0,0
1703690713689,176,HTTP Request2 M 1,200,OK,Thread Group 2-1,bin,true,,830181,122,1,8,http://192.168.52.128/27.jpg,15,0,0
1703690713839,38,HTTP Request5 S 2,200,OK,Thread Group 5-1,bin,true,,169788,122,1,8,http://192.168.52.128/10.mp4,12,0,0
1703690713854,24,HTTP Request3 S 1,200,OK,Thread Group 6-1,bin,true,,148144,121,1,8,http://192.168.52.128/9.jpg,12,0,0
1703690713826,72,HTTP Request4 M 4,200,OK,Thread Group 4-1,text,true,,1072802,122,1,8,http://192.168.52.128/23.csv,13,0,0
1703690713893,14,HTTP Request1 S 3,200,OK,Thread Group 1-1,bin,true,,42122,121,1,8,http://192.168.52.128/3.jpg,11,0,0
1703690713890,49,HTTP Request3 M 2,200,OK,Thread Group 3-1,text,true,,974938,122,1,8,http://192.168.52.128/32.pdf,5,0,0
1703690713948,101,HTTP Request1 M 1,200,OK,Thread Group 1-1,text,true,,1072802,122,1,8,http://192.168.52.128/23.csv,5,0,0
1703690713989,71,HTTP Request5 S 2,200,OK,Thread Group 5-1,bin,true,,169788,122,1,8,http://192.168.52.128/10.mp4,22,0,0
1703690714141,163,HTTP Request5 M 1,200,OK,Thread Group 5-1,bin,true,,966151,122,1,8,http://192.168.52.128/31.bmp,7,0,0
1703690714305,128,HTTP Request5 M 3,200,OK,Thread Group 5-1,bin,true,,990223,122,1,8,http://192.168.52.128/33.bmp,11,0,0
1703690714456,58,HTTP Request5 S 3,200,OK,Thread Group 5-1,text,true,,194661,123,2,16,http://192.168.52.128/11.xlsx,26,0,0
1703690714512,424,HTTP Request3 S 2,200,OK,Thread Group 7-2,bin,true,,169789,122,2,16,http://192.168.52.128/10.mp4,96,0,33
1703690714755,216,HTTP Request5 S 3,200,OK,Thread Group 5-1,text,true,,194661,123,2,16,http://192.168.52.128/11.xlsx,115,0,0
1703690715055,200,HTTP Request5 S 2,200,OK,Thread Group 5-1,bin,true,,169788,122,2,16,http://192.168.52.128/10.mp4,108,0,0
1703690715355,95,HTTP Request5 S 4,200,OK,Thread Group 5-1,text,true,,19766,121,2,18,http://192.168.52.128/1.txt,95,0,0
1703690714446,1095,HTTP Request2 M 2,200,OK,Thread Group 2-2,bin,true,,855008,122,3,24,http://192.168.52.128/28.bmp,39,0,8
1703690714482,1147,HTTP Request5 M 2,200,OK,Thread Group 5-2,text,true,,974939,122,3,24,http://192.168.52.128/32.pdf,76,0,33
1703690714469,3639,HTTP Request4 M 4,200,OK,Thread Group 4-2,text,true,,1072803,122,5,40,http://192.168.52.128/23.csv,60,0,33
1703690715543,2840,HTTP Request2 S 3,200,OK,Thread Group 2-2,text,true,,103954,122,5,40,http://192.168.52.128/7.html,2527,0,0
1703690714441,6685,HTTP Request1 M 2,200,OK,Thread Group 1-2,bin,true,,1046521,122,8,64,http://192.168.52.128/24.jpg,58,0,8
1703690721126,2,HTTP Request1 M 2,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 192.168.52.128:80 failed to respond,Thread Group 1-2,text,false,,2094,0,8,64,http://192.168.52.128/24.jpg,0,0,0
1703690715630,5645,HTTP Request5 S 2,200,OK,Thread Group 5-2,bin,true,,169788,122,8,64,http://192.168.52.128/10.mp4,2611,0,0
