observation;nmail;byte rec;byte sent
0;883;33224404;20859400
1;680;22640262;18125400
2;592;21939734;20281964
3;594;18879467;18993147
4;593;21994549;19619919
5;593;20439120;19677269
6;586;20959374;19728271
7;597;20069146;20475475
8;573;21018391;19489449
9;602;21400574;20436716
10;584;21470644;20056569
11;601;20812106;19221911
12;587;17983333;19449574
13;588;22186144;20648830
14;594;21243460;19278176
15;576;20585379;20179721
16;580;20475037;19931473
17;634;21295376;20049328
18;602;22131801;19264113
19;582;18860404;19782047
20;595;21098425;18863291
21;554;19095367;19848063
22;608;21869918;20965359
23;575;20888682;19992091
24;635;22985162;19499023
25;562;19665279;20560117
26;586;20822831;19861723
27;621;22205127;19903993
28;605;21737333;19894517
29;536;16795975;18563726
30;632;22382021;20208035
31;576;19673726;19946043
32;609;21446970;19308518
33;590;20898390;19229861
34;597;19407217;18224228
35;593;19387383;19958697
36;582;20627196;20812578
37;557;22643012;21022654
38;614;21500080;21286899
39;599;22362189;19480205
40;612;20413955;19446426
41;560;21969235;20951425
42;593;20101846;20022442
43;592;23142033;20974631
44;591;19592856;19729616
45;611;23399796;21049893
46;601;21294136;20467132
47;573;19433307;18798336
48;603;20848636;20187062
49;579;19660827;18676627
50;609;20532251;19087713
51;575;21640331;20411526
52;595;18847072;19502630
53;557;20131055;20126631
54;563;19759900;18102322
55;626;20210069;19078849
56;648;21616797;18841608
57;588;21652112;20705360
58;569;19642954;19072436
59;573;20585835;20235103
60;598;20641336;20593633
61;640;22613069;19443811
62;557;19940625;20264587
63;603;20228742;18811738
64;610;22323795;21049331
65;589;20952530;19200601
66;594;20521929;19925022
67;588;20074780;19025397
68;591;21111062;19823595
69;585;20791285;21141045
70;585;20642248;19480142
71;584;20449395;19117878
72;622;21350195;20621444
73;590;21472319;20633524
74;579;21045629;19973064
75;592;21702154;20235596
76;581;19654710;19541238
77;617;21209748;19010382
78;554;18789018;19901504
79;620;22131093;19263930
80;572;21542302;21196634
81;600;20239195;18769986
82;571;19286826;19977635
83;602;21990555;19984256
84;615;19605671;18864657
85;582;21113569;19521151
86;599;20670223;19529670
87;563;18779902;19492873
88;606;20147801;20096120
89;612;23736420;20407777
90;539;20010462;20435593
91;640;22140266;19949197
92;558;21774959;20668086
93;614;18698583;19158095
94;593;21794903;19487954
95;581;21783010;21485736
96;594;20901970;19881568
97;604;20185125;18589238
98;587;20322489;20285291
99;606;23281372;20745391
100;606;21129961;20628306
101;571;21075266;19811002
102;559;19693601;20055359
103;496;19170323;17316280
104;592;19418156;19307628
105;598;21457361;19276847
106;596;20789099;20326518
107;554;19031628;20054764
108;600;23297888;20880467
109;621;20081719;19614482
110;558;20512921;20078843
111;617;21064593;18997513
112;606;20780602;19860997
113;602;21156931;19382059
114;563;20152310;19857461
115;626;21261268;19913394
116;571;19008708;18308997
117;585;19918118;21013115
118;603;22045745;19053032
119;588;19954176;20301805
120;589;21424819;20062409
121;590;20463586;19552572
122;586;21039500;20688936
123;598;22410044;21319916
124;585;20699595;19043669
125;608;20959755;19171892
126;586;22102671;20557672
127;567;20800968;20647879
128;599;20827720;19632617
129;626;21073067;20205537
130;590;21251872;18972126
