TIME;LIN1_VmSize;LIN1_VmData;LIN1_RSS;LIN1_byte_letti_I_O;LIN1_byte_letti_I_O1
0;724416;656040;34372;3092206;8868843
120;724884;656480;37336;0;206
240;724884;656480;37644;0;202
360;724884;656480;37652;0;202
480;724884;656480;37652;3206745;4794996
600;724884;656480;39620;85796594;34016801
720;735204;666800;40916;98232589;33086334
840;736228;667824;42572;100672552;36544065
960;736228;667824;42664;107933187;31741355
1080;736228;667824;42696;105208636;35587818
1200;736228;667824;42748;91824700;31125802
1320;736228;667824;42960;101104139;37777947
1440;736228;667824;42976;110087204;35371509
1560;736228;667824;43008;104225567;34730573
1680;736228;667824;43008;97488251;36820811
1800;736228;667824;43012;108781640;34830169
1920;736352;667948;43044;108313507;31325572
2040;736352;667948;43044;106936055;37774552
2160;736288;667884;43052;119837438;36414509
2280;736288;667884;43052;99472514;33733439
2400;736288;667884;43056;110379944;36300627
2520;736288;667884;43056;105171133;35813258
2640;736288;667884;43056;110053814;35478536
2760;736288;667884;43056;109908361;37563435
2880;736288;667884;43056;101099076;35353077
3000;736288;667884;43056;110718718;33601716
3120;736288;667884;43056;100001619;35805643
3240;736288;667884;43056;102218362;32774288
3360;736288;667884;43056;104724405;36680387
3480;736288;667884;43072;105350323;35168563
3600;736288;667884;43088;106042889;34357618
3720;736288;667884;43088;101416799;29812168
3840;736288;667884;43092;103723199;34120135
3960;736288;667884;43092;104245911;35474719
4080;736288;667884;43092;85551952;33179238
4200;736288;667884;43092;112990669;33486247
4320;736288;667884;43092;107074221;33769185
4440;736288;667884;43092;116491199;32826208
4560;736288;667884;43092;109411902;36107086
4680;736288;667884;43092;104825960;38924876
4800;736288;667884;43092;105304906;30557895
4920;736288;667884;43092;94584708;32522231
5040;736288;667884;43092;108011647;34984919
5160;736288;667884;43092;100256728;37616853
5280;736288;667884;43092;116169212;34465135
5400;736288;667884;43092;107679242;32438421
5520;736288;667884;43092;105113458;35761521
5640;736288;667884;43092;112116433;30305565
5760;736288;667884;43092;102733836;31319625
5880;736288;667884;43092;98803755;34387586
6000;736288;667884;43092;109811304;33927149
6120;736288;667884;43092;105797325;35882211
6240;736288;667884;43092;105635206;33998348
6360;736288;667884;43092;108412468;32507393
6480;736288;667884;43092;105124294;31886200
6600;736288;667884;43092;96827910;35857755
6720;736288;667884;43092;104973989;33639444
6840;736288;667884;43092;109619123;31029997
6960;736288;667884;43092;107793530;30232015
7080;736288;667884;43092;111535515;32320743
7200;736288;667884;43092;103665106;35998714
7320;736288;667884;43092;119099699;35665826
7440;736288;667884;43092;108952328;32218015
7560;736288;667884;43092;113112081;39057751
7680;736288;667884;43092;110372805;37137769
7800;737320;668916;43132;108585909;33118950
7920;737320;668916;43132;101981734;33806188
8040;737320;668916;43132;94653909;34987042
8160;737320;668916;43132;110465603;36615318
8280;737320;668916;43132;107679244;35700286
8400;737320;668916;43132;99469366;36055528
8520;737320;668916;43132;109192823;33161808
8640;737320;668916;43132;117709416;35499742
8760;737320;668916;43132;107528322;34678731
8880;737320;668916;43132;109738251;34397309
9000;737320;668916;43132;107896957;33289893
9120;737320;668916;43132;112798086;36184397
9240;737320;668916;43132;108922470;34542714
9360;737320;668916;43132;99454598;35981407
9480;737320;668916;43132;109784884;35078026
9600;737320;668916;43132;106084217;32147211
9720;737320;668916;43148;109997346;36350591
9840;737320;668916;43148;100967765;33815743
9960;737320;668916;43148;113212744;35244186
10080;737320;668916;43148;93844934;31755727
10200;737320;668916;43148;110566178;36447645
10320;737320;668916;43148;103724112;37217504
10440;737320;668916;43148;90180639;33854087
10560;737320;668916;43148;112049781;38399847
10680;737320;668916;43148;105459189;34653626
10800;737320;668916;43148;99523562;34431306
10920;737320;668916;43148;116348494;37040448
11040;737320;668916;43148;110189465;38427462
11160;737320;668916;43148;104019383;36705167
11280;737320;668916;43148;102149371;36142772
11400;737320;668916;43148;101346451;34621691
11520;737320;668916;43148;110973682;34657421
11640;737320;668916;43148;109629511;32316556
11760;737320;668916;43148;109715305;36637925
11880;737320;668916;43148;112572377;34986292
12000;737320;668916;43148;106341911;35398661
12120;737320;668916;43148;107868784;36414136
12240;737320;668916;43148;101819988;34179610
12360;737320;668916;43148;104580914;34174770
12480;737320;668916;43148;107518069;33471766
12600;737320;668916;43148;102656821;34214122
12720;737320;668916;43148;106245222;32621944
12840;737320;668916;43148;99822921;34465327
12960;737320;668916;43148;108705121;38711625
13080;737320;668916;43148;107273642;34543128
13200;737320;668916;43148;104339911;32347244
13320;737320;668916;43148;111499748;35391541
13440;737320;668916;43148;102260252;37497426
13560;737320;668916;43148;104831168;34420413
13680;737320;668916;43148;113250038;36103495
13800;737320;668916;43148;109728263;35646243
13920;737320;668916;43148;104643374;38240028
14040;737320;668916;43152;105486055;35075280
14160;737320;668916;43152;109764169;34552030
14280;737320;668916;43152;97828997;34884050
14400;737320;668916;43152;109589390;35823292
14520;737320;668916;43152;101387469;38289269
14640;737320;668916;43152;110207666;37589157
14760;737320;668916;43152;100604290;32467975
14880;737320;668916;43152;96938958;32268171
15000;737320;668916;43152;95563600;32285221
15120;737320;668916;43152;99540008;35788272
15240;737320;668916;43152;117938424;35258513
15360;737320;668916;43152;100200415;34333509
15480;737320;668916;43152;95132412;34933276
15600;737320;668916;43152;99364887;31140132
15720;737320;668916;43152;107570667;35879848
15840;737320;668916;43152;109875543;36475387
15960;737320;668916;43152;96838155;35557950
16080;737320;668916;43152;104148522;36781363
16200;737320;668916;43152;105020182;34959991
16320;737320;668916;43152;99631587;31328066
16440;737320;668916;43152;99381914;31807701
16560;737320;668916;43152;89207986;32568807
16680;737320;668916;43152;103874969;35551848
16800;737320;668916;43152;108613556;32579472
16920;737320;668916;43152;107427423;34194324
17040;737320;668916;43152;103445903;34691452
17160;737320;668916;43152;104304160;33517836
17280;737320;668916;43152;106185242;37796001
17400;737320;668916;43152;108543897;33147370
17520;737320;668916;43152;110075679;33454771
17640;737320;668916;43152;106864146;35487602
17760;737320;668916;43152;102263588;34056711
17880;737320;668916;43152;97578957;32042046
18000;737320;668916;43152;103424588;34620624
18120;737320;668916;43152;99371973;33889184
18240;737320;668916;43152;102510973;33263363
18360;737320;668916;43152;99987822;35120317
18480;737320;668916;43152;99122714;33402315
18600;737320;668916;43152;99977809;32803779
18720;737836;669432;43180;112107413;33915314
18840;737836;669432;43180;101611233;34686202
18960;737836;669432;43180;97115400;33938718
19080;737836;669432;43180;106133082;33992907
19200;737836;669432;43180;99950947;35826440
19320;737836;669432;43180;93137089;34272306
19440;737836;669432;43180;108931629;37026854
19560;737836;669432;43180;102719709;35963442
19680;737836;669432;43180;99640209;35017201
19800;737836;669432;43180;94073079;32219446
19920;737836;669432;43180;110476945;33146566
20040;737836;669432;43180;90218902;30492581
20160;737836;669432;43180;107524665;36496655
20280;737836;669432;43180;100083782;33117697
20400;737836;669432;43180;106172720;30508811
20520;737836;669432;43180;95745855;33889814
20640;737836;669432;43180;105763154;34245857
20760;737836;669432;43180;106062132;34871098
20880;737836;669432;43180;104873171;36003781
21000;737836;669432;43180;107247319;34065050
21120;737836;669432;43180;102593801;30642075
21240;737836;669432;43180;106130975;36306060
21360;737836;669432;43180;99186109;33529927
21480;737836;669432;43180;102421951;32096031
21600;737836;669432;43180;107043716;37740152
21720;737836;669432;43180;111608668;34664350
21840;737836;669432;43180;107419924;33399319
21960;737836;669432;43180;102167419;32116592
22080;737836;669432;43180;113543188;35333003
22200;737836;669432;43180;107048154;33442422
22320;737836;669432;43180;98210470;31735450
22440;737836;669432;43180;101871001;38839697
22560;737836;669432;43180;100273669;38975871
22680;737836;669432;43180;103798440;35198385
22800;737836;669432;43180;104157783;35110436
22920;737836;669432;43180;114173694;37173786
23040;737836;669432;43180;99295372;35849296
23160;737836;669432;43180;102550516;36003461
23280;737836;669432;43180;98270256;37450010
23400;737836;669432;43180;94025809;32102297
23520;737836;669432;43180;106332719;35536455
23640;737836;669432;43180;105912216;32630952
23760;737836;669432;43180;103212194;35303441
23880;737836;669432;43180;104349486;36827991
24000;737836;669432;43180;107150678;31066657
24120;737836;669432;43180;103890962;34878609
24240;737836;669432;43180;91175213;32884282
24360;737836;669432;43180;102809768;35184210
24480;737836;669432;43180;108443355;34068546
24600;737836;669432;43180;107880315;32148778
24720;737836;669432;43180;112915393;33671085
24840;737836;669432;43180;112218134;33979649
24960;737836;669432;43180;110235788;34271214
25080;737836;669432;43180;101963245;31812600
25200;737836;669432;43180;109319751;33235470
25320;737836;669432;43180;106157375;36314364
25440;737836;669432;43180;93772546;34608922
25560;737836;669432;43180;94595113;33895404
25680;737836;669432;43180;94814814;29764591
25800;737836;669432;43180;109112407;31730383
25920;737836;669432;43180;100811151;34265317
26040;737836;669432;43180;100741867;31817211
26160;737836;669432;43180;100122972;31950899
26280;737836;669432;43180;102184659;35561546
26400;737836;669432;43180;104198618;36269140
26520;737836;669432;43180;102947405;36287642
26640;737836;669432;43180;96835825;36305117
26760;737836;669432;43180;122790890;37647575
26880;737836;669432;43180;109577836;38250160
27000;737836;669432;43180;107361737;35567331
27120;737836;669432;43180;103016506;38420084
27240;737836;669432;43180;106058352;32909594
27360;737836;669432;43180;96973848;35340142
27480;737836;669432;43180;111971271;34764653
27600;737836;669432;43180;108702488;33582442
27720;737836;669432;43180;114573730;35044700
27840;737836;669432;43180;103138207;36839695
27960;737836;669432;43180;107017914;33526549
28080;737836;669432;43180;98357297;33055838
28200;737836;669432;43180;102346156;33524197
28320;737836;669432;43180;110701306;33725984
28440;737836;669432;43180;101887472;35450235
28560;737836;669432;43180;107069949;34698294
28680;737836;669432;43180;95120026;32235202
28800;737836;669432;43180;91548767;31238811
28920;737836;669432;43180;98736605;34326855
29040;737836;669432;43180;106509899;37145679
29160;737836;669432;43180;102902887;32373657
29280;737836;669432;43180;91297786;36993675
29400;737836;669432;43180;95598290;33291120
29520;737836;669432;43180;99591958;34771905
29640;737836;669432;43180;103968758;37148589
29760;737836;669432;43180;103110696;34191917
29880;737836;669432;43180;103586674;35537761
30000;737836;669432;43180;103338639;35289703
30120;737836;669432;43180;104001870;38978012
30240;737836;669432;43180;98947767;32943090
30360;737836;669432;43180;100594591;35415179
30480;737836;669432;43180;103343336;33976147
30600;737836;669432;43180;99724091;33648101
30720;737836;669432;43180;98738307;34648703
30840;737836;669432;43180;87090527;31106549
30960;737836;669432;43180;102895462;33819764
31080;737836;669432;43180;115499932;32344281
31200;737836;669432;43180;113712804;36560757
31320;737836;669432;43180;105985181;35099463
31440;737836;669432;43180;102501839;35517433
31560;737836;669432;43180;108020755;36752223
31680;737836;669432;43180;99047694;32970595
31800;737836;669432;43180;102085564;32276690
31920;737836;669432;43180;103030831;36175559
32040;737836;669432;43180;109017596;34322869
32160;737836;669432;43180;106450834;35444787
32280;737836;669432;43180;100076475;33737135
32400;737836;669432;43180;107532374;33923925
32520;737836;669432;43180;116527140;34602329
32640;737836;669432;43180;106992954;36265650
32760;737836;669432;43180;108624714;33432710
32880;737836;669432;43180;106072681;37386114
33000;737836;669432;43180;112518453;37398456
33120;737836;669432;43180;105629459;31743218
33240;737836;669432;43180;103749901;34261854
33360;737836;669432;43180;111251853;33840877
33480;737836;669432;43180;110421784;31185179
33600;737836;669432;43180;100478395;33702869
33720;737836;669432;43180;102269218;36371737
33840;737836;669432;43180;94607737;29774122
33960;737836;669432;43180;96609749;33114555
34080;737836;669432;43180;107126589;33058142
34200;737836;669432;43180;109264152;36749952
34320;737836;669432;43180;105107745;36533501
34440;737836;669432;43180;106399446;39437608
34560;737836;669432;43180;99728312;34999151
34680;737836;669432;43180;98572918;34142236
34800;737836;669432;43180;97102892;34524144
34920;737836;669432;43180;104888271;34355159
35040;737836;669432;43180;113668555;32487119
35160;737836;669432;43180;103670938;33275467
35280;737836;669432;43180;112233967;36403017
35400;737836;669432;43180;109228649;29675043
35520;737836;669432;43180;114747593;38379406
35640;737836;669432;43180;109435474;38762833
35760;737836;669432;43180;101800056;31446073
35880;737836;669432;43180;110122815;36407319
36000;737836;669432;43180;108418181;33986460
36120;737836;669432;43180;101790763;33401817
36240;737836;669432;43180;111127408;36716172
36360;737836;669432;43180;96216811;32615179
36480;737836;669432;43180;105901751;33503609
36600;737836;669432;43180;106487422;33428698
36720;737836;669432;43180;105390577;33264564
36840;737836;669432;43180;112514511;34104725
36960;737836;669432;43180;101037274;33245347
37080;737836;669432;43180;110409466;32284618
37200;737836;669432;43180;109836054;35259659
37320;737836;669432;43180;112136971;37394488
37440;737836;669432;43180;111948992;35080415
37560;737836;669432;43180;101548141;36444630
37680;737836;669432;43180;104658480;34829325
37800;737836;669432;43180;101798809;34569886
37920;737836;669432;43180;97114382;35474022
38040;737836;669432;43180;104476522;32509467
38160;737836;669432;43180;102635946;36871387
38280;737836;669432;43180;108152396;33072429
38400;737836;669432;43180;104276130;37159141
38520;737836;669432;43180;115345223;35065962
38640;737836;669432;43180;113264396;34224795
38760;737836;669432;43180;107821986;32214941
38880;737836;669432;43180;107813308;32739339
39000;737836;669432;43180;100610885;33172945
39120;737836;669432;43180;105215730;35884413
39240;737836;669432;43180;95916272;31843432
39360;737836;669432;43180;105514446;31301936
39480;737836;669432;43180;105424914;35970858
39600;737836;669432;43184;106597481;33031173
39720;737836;669432;43812;93624462;32759507
39840;737836;669432;43812;101747135;36585305
39960;737836;669432;43812;92434886;30899439
40080;737836;669432;43812;99699692;34311879
40200;737836;669432;43816;96171053;35070148
40320;737836;669432;43816;100892694;35339945
40440;737836;669432;43816;91673986;32709114
40560;737836;669432;43816;99693229;34417740
40680;737836;669432;43816;106734354;35086501
40800;737836;669432;43816;106926577;35724445
40920;737836;669432;43816;99396676;35987641
41040;737836;669432;43816;103932155;34054689
41160;737836;669432;43816;100391225;36126356
41280;737836;669432;43816;105379980;33410004
41400;737836;669432;43612;107343206;32720566
41520;737836;669432;43612;109151269;38574220
41640;737836;669432;43612;112086997;30328954
41760;737836;669432;43612;106259871;36037218
41880;737836;669432;43612;94693674;35778674
42000;737836;669432;43612;102634278;34167609
42120;737836;669432;43612;107585002;39429047
42240;737836;669432;43612;96397366;38508743
42360;737836;669432;43612;109275067;35494983
42480;737836;669432;43612;108426245;36063580
