TIME;LIN2_VmSize;LIN2_VmData;LIN2_RSS;LIN2_byte_letti__sec;LIN2_byte_scritti__sec;;;;;;
0;724876;656500;33608;29976429;34456910;;;;;;
120;735196;666820;38260;75708689;59963057;;;;;;
240;735284;666908;39764;84647106;68106670;;;;;;
360;735284;666908;40032;85829981;66445239;;;;;;
480;735284;666908;40060;78397321;61955867;;;;;;
600;735284;666908;40060;81638072;65558750;;;;;;
720;735284;666908;40060;86057340;65327126;;;;;;
840;735284;666908;40788;79187330;65933078;;;;;;
960;735284;666908;41548;80988672;66056325;;;;;;
1080;735284;666908;41548;80608001;65585987;;;;;;
1200;735284;666908;41548;88419161;62327465;;;;;;
1320;735284;666908;41548;80802710;64644413;;;;;;
1440;735284;666908;41548;81281193;66082157;;;;;;
1560;735284;666908;41604;81801000;67032848;;;;;;
1680;735284;666908;41620;86220609;65861836;;;;;;
1800;735284;666908;41620;75431897;64435871;;;;;;
1920;735284;666908;41624;85454532;66463765;;;;;;
2040;735284;666908;41624;80031196;61621452;;;;;;
2160;735284;666908;42132;76009608;62002486;;;;;;
2280;735284;666908;42136;83520265;63891598;;;;;;
2400;735284;666908;42136;80211848;63445980;;;;;;
2520;735284;666908;42136;80373418;65140580;;;;;;
2640;735284;666908;42136;85799272;66317218;;;;;;
2760;735284;666908;42136;83184713;65408752;;;;;;
2880;735284;666908;42136;90899350;66678668;;;;;;
3000;735284;666908;42136;80149580;63945326;;;;;;
3120;735284;666908;42136;84256677;70078079;;;;;;
3240;735284;666908;42136;81484321;64217011;;;;;;NO MEMORY DEPLETION!!!
3360;735284;666908;42136;77593590;60154596;;;;;;
3480;735284;666908;42136;76863332;60861418;;;;;;
3600;735284;666908;42136;79319420;63366230;;;;;;
3720;735284;666908;42136;82082461;66630441;;;;;;
3840;735284;666908;42136;77934971;64195244;;;;;;
3960;735284;666908;42136;87422286;68563465;;;;;;
4080;735284;666908;42136;85730609;66861665;;;;;;
4200;735284;666908;42136;83314156;66042863;;;;;;
4320;735284;666908;42140;88678239;66372422;;;;;;
4440;735284;666908;43384;85469369;70106135;;;;;;
4560;735284;666908;43564;93829055;70217001;;;;;;
4680;735284;666908;43564;85686994;69516572;;;;;;
4800;735284;666908;43564;87003017;65120432;;;;;;
4920;735284;666908;43568;85585377;64495900;;;;;;
5040;735284;666908;43568;84329712;63390477;;;;;;
5160;735284;666908;43568;83675080;65741952;;;;;;
5280;735284;666908;43568;86771860;62785337;;;;;;
5400;735284;666908;43568;85507254;68549542;;;;;;
5520;735284;666908;43568;86740158;67745749;;;;;;
5640;735284;666908;43568;80161520;63146838;;;;;;
5760;735284;666908;43568;81285727;64486167;;;;;;
5880;735284;666908;43568;80780323;64165837;;;;;;
6000;735284;666908;43568;79124432;61472394;;;;;;
6120;735284;666908;43568;74391954;61594364;;;;;;
6240;735284;666908;43568;88400938;65713327;;;;;;
6360;735284;666908;43568;77678501;64482913;;;;;;
6480;735284;666908;43568;86210282;67527450;;;;;;
6600;735284;666908;43568;82248469;63945381;;;;;;
6720;735284;666908;43436;86809900;67823460;;;;;;
6840;735284;666908;43276;82383355;65971834;;;;;;
6960;735284;666908;43264;82576442;67223882;;;;;;
7080;735284;666908;43264;81238518;63774323;;;;;;
7200;735284;666908;43264;74131567;60235783;;;;;;
7320;735284;666908;43264;89278377;66850205;;;;;;
7440;735284;666908;43264;84232170;64182647;;;;;;
7560;735284;666908;43264;81455448;61529475;;;;;;
7680;735284;666908;43264;85949815;66349487;;;;;;
7800;735284;666908;43264;77686013;60942491;;;;;;
7920;735284;666908;43264;81836734;66306170;;;;;;
8040;735284;666908;43264;81390235;67090978;;;;;;
8160;735284;666908;43264;88898370;68669755;;;;;;
8280;735284;666908;43264;81770478;64792736;;;;;;
8400;735284;666908;43276;85190278;65241279;;;;;;
8520;735284;666908;43276;79235259;63487905;;;;;;
8640;735284;666908;43280;86487137;66312478;;;;;;
8760;735284;666908;43280;82372225;68487953;;;;;;
8880;735284;666908;43280;85997447;66530624;;;;;;
9000;735284;666908;43280;84699351;64281151;;;;;;
9120;735284;666908;43280;82807331;65674577;;;;;;
9240;735284;666908;43280;77218751;65558300;;;;;;
9360;735284;666908;43280;89384559;66324916;;;;;;
9480;735284;666908;43280;87932162;68717504;;;;;;
9600;735284;666908;43280;87174463;64218369;;;;;;
9720;735284;666908;43280;77720762;60388177;;;;;;
9840;735284;666908;43280;84972633;64081161;;;;;;
9960;735284;666908;43280;79513804;61008317;;;;;;
10080;735284;666908;43280;86472141;67241751;;;;;;
10200;735284;666908;43284;86679572;64772680;;;;;;
10320;735284;666908;43284;80825679;63230517;;;;;;
10440;735284;666908;43284;84131693;65604815;;;;;;
10560;735284;666908;43284;81366418;67432540;;;;;;
10680;735284;666908;43284;90708022;65028224;;;;;;
10800;735284;666908;43284;82065545;66116678;;;;;;
10920;735284;666908;43284;77766756;64536853;;;;;;
11040;735284;666908;43296;83984694;64105284;;;;;;
11160;735284;666908;43296;89090167;70721623;;;;;;
11280;735284;666908;43296;83149508;65293256;;;;;;
11400;735284;666908;43296;86618950;67285902;;;;;;
11520;735284;666908;43296;83459722;69780422;;;;;;
11640;735284;666908;43296;92830236;68445157;;;;;;
11760;735284;666908;43296;84119477;67281322;;;;;;
11880;735284;666908;43296;83405547;67116468;;;;;;
12000;735284;666908;43296;86981009;65134471;;;;;;
12120;735284;666908;43296;80924866;68437681;;;;;;
12240;735284;666908;43296;90070511;70568072;;;;;;
12360;735284;666908;43296;82154602;65471527;;;;;;
12480;735284;666908;43296;80763646;63510994;;;;;;
12600;735284;666908;43296;81081404;66872526;;;;;;
12720;735284;666908;43296;84070411;67551302;;;;;;
12840;735284;666908;43296;83926773;65353447;;;;;;
12960;735284;666908;43296;83369532;62369641;;;;;;
13080;735284;666908;43296;82973060;68128907;;;;;;
13200;735284;666908;43296;83964321;64020116;;;;;;
13320;735284;666908;43296;83977190;64476559;;;;;;
13440;735284;666908;43296;82318376;64573286;;;;;;
13560;735284;666908;43296;78758825;64833014;;;;;;
13680;735284;666908;43296;84396572;65198616;;;;;;
13800;735284;666908;43296;78943467;66424010;;;;;;
13920;735284;666908;44272;83657847;67821684;;;;;;
14040;735284;666908;44276;83758356;64704900;;;;;;
14160;735284;666908;44092;80128574;66101959;;;;;;
14280;735284;666908;44092;77936678;65508222;;;;;;
14400;735284;666908;44092;83432483;64942518;;;;;;
14520;735284;666908;44104;83614767;67201668;;;;;;
14640;735284;666908;44104;76427649;64128786;;;;;;
14760;735284;666908;44104;88299046;66769939;;;;;;
14880;735284;666908;43524;89224265;67183738;;;;;;
15000;735284;666908;43524;87118696;64302176;;;;;;
15120;735284;666908;43524;88805802;65987944;;;;;;
15240;735284;666908;43524;85786190;67649223;;;;;;
15360;735284;666908;43524;82917632;63438307;;;;;;
15480;735284;666908;43524;79478915;62077303;;;;;;
15600;735284;666908;43524;82352680;60296754;;;;;;
15720;735284;666908;43524;83650081;66704405;;;;;;
15840;735284;666908;43524;82423026;67258544;;;;;;
15960;735284;666908;43524;78373363;65723762;;;;;;
16080;735284;666908;43524;78691830;61747750;;;;;;
16200;735284;666908;43524;76207679;62186999;;;;;;
16320;735284;666908;43368;83821198;66016188;;;;;;
16440;735284;666908;43368;84226270;66830749;;;;;;
16560;735284;666908;43368;80614940;66170989;;;;;;
16680;735284;666908;43368;79207613;61622591;;;;;;
16800;735284;666908;43368;84082260;66392377;;;;;;
16920;735284;666908;43368;84476091;64616729;;;;;;
17040;735284;666908;43368;89394033;67018571;;;;;;
17160;735284;666908;43368;85456658;67751667;;;;;;
17280;735284;666908;43368;81838112;67858488;;;;;;
17400;735284;666908;43368;80263570;65439629;;;;;;
17520;735284;666908;43368;83201547;64126484;;;;;;
17640;735284;666908;43368;81311621;63671406;;;;;;
17760;735284;666908;43368;77755918;62888355;;;;;;
17880;735284;666908;43368;78399247;64491608;;;;;;
