T;Allocated Heap
0;2836408
60;2836408
120;3586632
180;4066288
240;4066288
300;4066288
360;4066288
420;4066288
480;4066288
540;4066288
600;4553216
660;4553216
720;7152536
780;6947728
840;4521808
900;7433840
960;7866272
1020;4271312
1080;7714528
1140;7004120
1200;7569760
1260;4697168
1320;6728824
1380;7535192
1440;3942304
1500;7511488
1560;7100704
1620;6762856
1680;7538664
1740;6686032
1800;8088456
1860;4532032
1920;7911896
1980;7553536
2040;7805864
2100;7065152
2160;7903536
2220;7688104
2280;7808400
2340;4218152
2400;7935600
2460;4314584
2520;7895312
2580;8335272
2640;7634480
2700;5107104
2760;7678864
2820;7219576
2880;7088360
2940;7921928
3000;7634328
3060;8003360
3120;7549368
3180;5004400
3240;4077624
3300;7520408
3360;7615144
3420;7268256
3480;7210328
3540;7227640
3600;3804760
3660;7307344
3720;7275000
3780;7733944
3840;7294424
3900;6607776
3960;6659656
4020;7633424
4080;8280648
4140;7320360
4200;7734472
4260;6871176
4320;7049680
4380;4339800
4440;6982968
4500;4649736
4560;7611688
4620;7012768
4680;7589808
4740;7541936
4800;4120552
4860;7756464
4920;7829928
4980;7489472
5040;6668568
5100;7505120
5160;7345160
5220;7085144
5280;7071760
5340;7777800
5400;7457448
5460;6793952
5520;8241832
5580;7258040
5640;7716184
5700;7775584
5760;7990504
5820;6712384
5880;7923528
5940;6467936
6000;7558688
6060;7009848
6120;7159448
6180;7731928
6240;7875632
6300;7274888
6360;6394648
6420;6906208
6480;7538896
6540;7937808
6600;7699216
6660;7291552
6720;8082280
6780;7190576
6840;7773944
6900;7783648
6960;7291656
7020;6550760
7080;5638352
7140;7863200
7200;7874920
7260;7646032
7320;7011488
7380;7933776
7440;7119864
7500;7654424
7560;6780616
7620;7278992
7680;4349056
7740;7790232
7800;7268448
7860;7707608
7920;7276776
7980;6888912
8040;7433552
8100;4058288
8160;6847448
8220;7008232
8280;7675712
8340;4539608
8400;7377248
8460;4871328
8520;7141096
8580;6913112
8640;7385848
8700;4605160
8760;7402088
8820;7189352
8880;6889872
8940;7360480
9000;7565784
9060;6826512
9120;7167848
9180;8129912
9240;7901496
9300;7589776
9360;7849728
9420;6518104
9480;4181080
9540;6873880
9600;7290992
9660;7535480
9720;7366680
9780;6789792
9840;7686232
9900;6838384
9960;7866160
10020;7766344
10080;8135280
10140;7143616
10200;7514360
10260;6564216
10320;7315480
10380;7656248
10440;6528320
10500;7514416
10560;7368944
10620;7776808
10680;7223032
10740;4274752
10800;6606704
10860;6328112
10920;6665320
10980;7679296
11040;7387688
11100;4137016
11160;6949776
11220;7604256
11280;7357832
11340;7222832
11400;7094472
11460;6713760
11520;7508368
11580;7269800
11640;7882560
11700;7613744
11760;6986032
11820;6672840
11880;6960456
11940;7327728
12000;6782032
12060;6134632
12120;7990512
12180;6881768
12240;7414648
12300;6793560
12360;7054096
12420;7410752
12480;7685512
12540;6597304
12600;7331768
12660;7788624
12720;7041536
12780;6857840
12840;7247120
12900;7380776
12960;7254232
13020;7576736
13080;6938408
13140;7893208
13200;7618416
13260;7553088
13320;7171544
13380;6777896
13440;7363816
13500;7185024
13560;7312296
13620;7958864
13680;7838672
13740;7257680
13800;7451912
13860;6871600
13920;7724608
13980;7821544
14040;7847432
14100;7750304
14160;7608640
14220;7996800
14280;6963864
14340;6685496
14400;6951504
14460;6617760
14520;7279368
14580;7667712
14640;7387728
14700;8262232
14760;7762760
14820;7398064
14880;6926440
14940;6964784
15000;7420688
15060;7254336
15120;6163736
15180;7291016
15240;7161528
15300;6042888
15360;6989840
15420;6744440
15480;7605928
15540;7171792
15600;6902592
15660;7466752
15720;6674912
15780;7790504
15840;6658088
15900;7309640
15960;7458424
16020;7170560
16080;6954528
16140;3864520
16200;7582840
16260;7494872
16320;7451512
16380;7346496
16440;7748944
16500;6758688
16560;6170920
16620;6897064
16680;6616568
16740;5700120
16800;7474800
16860;6926328
16920;7492864
16980;3850112
17040;6467848
17100;6920176
17160;7119448
17220;7040128
17280;6291352
17340;8146352
17400;7657944
17460;6976880
17520;7734872
17580;6996584
17640;6924584
17700;7183912
17760;7258248
17820;7655128
17880;7303976
17940;7897528
18000;7244576
18060;7221448
18120;7065304
18180;6922064
18240;5828280
18300;6705528
18360;7390736
18420;7553864
18480;7182800
18540;7779680
18600;6766432
18660;7179384
18720;6684064
18780;6586800
18840;7394552
18900;6793208
18960;7414328
19020;4145744
19080;6523840
19140;8029080
19200;7498528
19260;7984088
19320;7661648
19380;6659272
19440;8144760
19500;7350688
19560;6732520
19620;4739688
19680;6467880
19740;8309112
19800;7318096
19860;7088480
19920;7025408
19980;7479048
20040;7435168
20100;7138656
20160;7119400
20220;7138224
20280;7408872
20340;6817072
20400;7659568
20460;7178176
20520;7449000
20580;7180840
20640;7424392
20700;7244776
20760;7421416
20820;7012976
20880;6242656
20940;7412272
21000;7224480
21060;7413216
21120;6974760
21180;7138864
21240;6875464
21300;6710888
21360;6713616
21420;7649816
21480;7595496
21540;7688088
21600;7403448
21660;6485272
21720;7799400
21780;6870704
21840;8145576
21900;7361560
21960;7350192
22020;7385736
22080;6905320
22140;7150248
22200;7345824
22260;7511472
22320;6947632
22380;7532136
22440;6986496
22500;6950576
22560;7397456
22620;7491840
22680;7459880
22740;7711496
22800;7239472
22860;6939592
22920;7185632
22980;6537368
23040;7628688
23100;7401256
23160;7625080
23220;7875896
23280;6530752
23340;7296056
23400;8295176
23460;7766584
23520;7128592
23580;7277904
23640;6746608
23700;6462376
23760;7646600
23820;6411240
23880;7364664
23940;6551472
24000;7625488
24060;7308368
24120;6623944
24180;7207168
24240;4129568
24300;8125744
24360;6486304
24420;7476104
24480;7491048
24540;7877384
24600;6910904
24660;7775880
24720;7298720
