T;allocated heap
0;2980800
60;2980800
120;5254752
180;4965992
240;5771896
300;5458456
360;5348200
420;4913288
480;5419208
540;4778616
600;5598472
660;5810872
720;5525680
780;7082176
840;5498336
900;5056352
960;5582624
1020;6623736
1080;5590184
1140;5317344
1200;6123248
1260;5426880
1320;5738200
1380;5682648
1440;5692800
1500;5298016
1560;6063680
1620;5502912
1680;6002640
1740;6130624
1800;6028768
1860;5832488
1920;5597296
1980;5431008
2040;5792152
2100;5073064
2160;5380896
2220;5571960
2280;5232912
2340;6527328
2400;5434296
2460;5239344
2520;5091792
2580;5431344
2640;6009824
2700;5822216
2760;5215736
2820;5186440
2880;5643936
2940;5043568
3000;5375536
3060;5279232
3120;5150728
3180;5511056
3240;5952744
3300;5160656
3360;5145824
3420;4752376
3480;5001672
3540;4923256
3600;5566816
3660;5933344
3720;5187984
3780;5130248
3840;5695056
3900;5299984
3960;5568688
4020;5874448
4080;5683408
4140;5314016
4200;5624336
4260;5641112
4320;5598760
4380;5542984
4440;7064920
4500;5925144
4560;6200096
4620;4515064
4680;6598760
4740;6137672
4800;5310992
4860;4164440
4920;4535264
4980;4801048
5040;5151808
5100;5514024
5160;5673328
5220;5240208
5280;5384480
5340;5348720
5400;4572408
5460;6911552
5520;5410704
5580;5325032
5640;6761896
5700;4032400
5760;8777536
5820;9429096
5880;6229424
5940;4080392
6000;5959408
6060;4175152
6120;4680968
6180;4054736
6240;6332064
6300;5301448
6360;4374120
6420;7161624
6480;4522768
6540;6051240
6600;7172792
6660;6397264
6720;6029464
6780;5302504
6840;6557264
6900;6064520
6960;5605744
7020;5898768
7080;6482728
7140;5625840
7200;5786968
7260;5738984
7320;5673872
7380;7190152
7440;5647976
7500;5198464
7560;5113848
7620;5699672
7680;5404376
7740;5594392
7800;6169328
7860;9465688
7920;4538760
7980;6426976
8040;5729160
8100;4009280
8160;5935432
8220;5532688
8280;4719760
8340;5952360
8400;6079264
8460;5232336
8520;5834432
8580;6124888
8640;5946424
8700;6056872
8760;5506936
8820;6053824
8880;5351472
8940;5968872
9000;5845080
9060;6236376
9120;5385216
9180;5560408
9240;5399504
9300;6392856
9360;5312960
9420;5318832
9480;5934152
9540;5649240
9600;6353984
9660;5730640
9720;5777888
9780;5373552
9840;5476568
9900;5762464
9960;5509320
10020;5273816
10080;5175584
10140;5813752
10200;5764640
10260;6133280
10320;5920120
10380;5691264
10440;7058776
10500;5917816
10560;6182136
10620;5663552
10680;5530496
10740;5986272
10800;6144488
10860;6522464
10920;6094720
10980;5423656
11040;4978296
11100;5653048
11160;4055864
11220;6358816
11280;5863600
11340;5746448
11400;5649712
11460;5435840
11520;4712048
11580;5922536
11640;5311048
11700;5685280
11760;9182296
11820;5941104
11880;5455096
11940;5305960
12000;5968936
12060;6111984
12120;5899080
12180;5951696
12240;5567144
12300;6023920
12360;5683264
12420;5157936
12480;5737384
12540;4863864
12600;6034728
12660;5454568
12720;4956880
12780;5935784
12840;5751408
12900;4917128
12960;6229176
13020;5389952
13080;4449280
13140;6425704
13200;6004168
13260;5777704
13320;5846272
13380;5662008
13440;6247784
13500;6225768
13560;4558368
13620;6114176
13680;6117632
13740;6165320
13800;5077760
13860;4894480
13920;6631416
13980;6703104
14040;5995272
14100;6065936
14160;4039608
14220;5753432
14280;6582064
14340;6227984
14400;4493424
14460;5651496
14520;6308432
14580;6332336
14640;4975240
14700;6187840
14760;9207384
14820;5661368
14880;6065256
14940;5580904
15000;5810536
15060;5617224
15120;9648280
15180;5690376
15240;6079464
15300;5354072
15360;5865568
15420;5819360
15480;5695888
15540;6997416
15600;5951496
15660;5684312
15720;6102040
15780;5209632
15840;6123520
15900;6443096
15960;5314312
16020;6028760
16080;5749552
16140;7038336
16200;6402008
16260;5482112
16320;5869120
16380;6066976
16440;5059200
16500;5276896
16560;6225424
16620;6124632
16680;5608384
16740;4331504
16800;5666752
16860;5818632
16920;7106240
16980;4181640
17040;5010840
17100;5932224
17160;5956200
17220;5705984
17280;5634272
17340;6283984
17400;5790360
17460;5159680
17520;5561816
17580;5338976
17640;4667480
17700;5505200
17760;6105504
17820;5813376
17880;5935824
17940;6235504
18000;5632360
18060;5987080
18120;6456016
18180;5775240
18240;6356320
18300;5804496
18360;6443384
18420;5218848
18480;6238872
18540;5848864
18600;5129552
18660;5374024
18720;4765760
18780;5962544
18840;5527664
18900;5251224
18960;6243408
19020;4227528
19080;6220984
19140;4202264
19200;6092928
19260;6911648
19320;5531976
19380;3998136
19440;6404800
19500;5231040
19560;3915912
19620;4857120
19680;5685368
19740;5361976
19800;5118680
19860;5609696
19920;5772800
19980;5764416
20040;6731072
20100;5423184
20160;6142904
20220;6234904
20280;7015672
20340;6522720
20400;9295376
20460;6239304
20520;5709656
20580;6106216
20640;6142552
20700;4092528
20760;5730808
20820;7276528
20880;6096136
20940;6297320
21000;6722688
21060;4079680
21120;7198776
21180;6810296
21240;6192144
21300;6876152
