TIME;LIN4_VmSize;LIN4_VmData;LIN4RSS;LIN4_byte_letti__sec;LIN4_byte_scritti__sec
0;725384;657008;34376;0;200
120;725384;657008;34388;0;200
240;735836;667432;43204;0;200
360;735836;667432;43364;0;200
480;735836;667432;43420;0;200
600;735836;667432;43624;38664580;57291647
720;735836;667432;43948;142878017;128104119
840;735836;667432;43948;143217803;129397779
960;736860;668456;44172;142751699;129200884
1080;736860;668456;44172;141887108;132879006
1200;736860;668456;44172;141201459;131129735
1320;736860;668456;44188;140926811;129232907
1440;736860;668456;44188;142623208;131660099
1560;736860;668456;44188;141360297;130144332
1680;736860;668456;44188;143108695;132265626
1800;737884;669480;44196;138884380;129014495
1920;737884;669480;44200;139413256;126981145
2040;737884;669480;44200;146570093;134989467
2160;737884;669480;44200;139308642;131207615
2280;737884;669480;44200;143110393;130451473
2400;737884;669480;44200;135640110;127980503
2520;737884;669480;45336;144411699;131671648
2640;737884;669480;45336;137809982;126896106
2760;737884;669480;45336;136390030;126332833
2880;737884;669480;45340;145119826;137395699
3000;737884;669480;45340;147301398;134027307
3120;737884;669480;45340;141548985;132529816
3240;737884;669480;45344;147065568;135669191
3360;737884;669480;45344;140037380;133603514
3480;737884;669480;45344;142511792;128918242
3600;737884;669480;45356;139044667;128224877
3720;737884;669480;45356;139685982;130143367
3840;737884;669480;45356;138230621;129561672
3960;737884;669480;45356;132760132;123573410
4080;737884;669480;45356;139980854;129382338
4200;737884;669480;45328;138517744;130224317
4320;737884;669480;45328;142825829;130830625
4440;737884;669480;45328;136368180;129183167
4560;737884;669480;46184;143452000;131825347
4680;737884;669480;46184;140263393;128844834
4800;737884;669480;46184;143479206;134899060
4920;737884;669480;45348;141747349;126951263
5040;737884;669480;45348;144392256;135210994
5160;737884;669480;45348;145610671;132515866
5280;737884;669480;45348;136560146;127342202
5400;737884;669480;45076;140199087;128598024
5520;737884;669480;45076;142710138;131868619
5640;737884;669480;45076;141446447;130563581
5760;737884;669480;45076;139071835;127069567
5880;737884;669480;45076;139321909;128711676
6000;737884;669480;45096;142212062;132338599
6120;737884;669480;45076;143654793;133509050
6240;737884;669480;45076;140319108;131687384
6360;737884;669480;45076;142016133;133869793
6480;737884;669480;45076;138298997;127176440
6600;737884;669480;45076;145619633;134172264
6720;737884;669480;45076;141494903;133404987
6840;737884;669480;45076;130584134;122219264
6960;737884;669480;45076;141470077;127855194
7080;737884;669480;45076;140022528;132572303
7200;737884;669480;45076;146147708;133145311
7320;737884;669480;45076;143843831;128965283
7440;737884;669480;45076;139078007;128685491
7560;737884;669480;45076;142181415;131005063
7680;737884;669480;45076;135978573;128802103
7800;737884;669480;45076;143324988;130022690
7920;737884;669480;45076;141134551;130369241
8040;737884;669480;45076;145405459;137761665
8160;737884;669480;45076;139241364;125686737
8280;737884;669480;45076;146400731;136430538
8400;737884;669480;45076;143270894;130708748
8520;737884;669480;44976;137985541;130235511
8640;737884;669480;44976;142557131;132702437
8760;737884;669480;44976;140823798;129682402
8880;737884;669480;44976;146937429;138028339
9000;737884;669480;44976;143815573;134086623
9120;737884;669480;44976;141084893;126423861
9240;737884;669480;44976;141006303;133978001
9360;737884;669480;44976;140092626;131203119
9480;737884;669480;44976;140921333;132427460
