T;allocated heap
0;3024712
60;3024712
120;3024712
180;3024712
240;3024712
300;3024712
360;3024712
420;3024712
480;3024712
540;3024712
600;3024712
660;3024712
720;3478424
780;3478424
840;3478424
900;3478424
960;4676136
1020;4777328
1080;7348160
1140;6766536
1200;6835512
1260;7187248
1320;7224192
1380;4293088
1440;6092256
1500;6503464
1560;6726768
1620;6230240
1680;6919096
1740;6618944
1800;6817648
1860;6273456
1920;6478320
1980;7073584
2040;7546920
2100;5620536
2160;6713248
2220;7228752
2280;6364728
2340;6570296
2400;5772648
2460;6489744
2520;4609576
2580;6119088
2640;5605120
2700;6023816
2760;5039392
2820;6174424
2880;6360616
2940;7246424
3000;6757176
3060;6822544
3120;4391024
3180;5145240
3240;7023544
3300;6315040
3360;5424584
3420;9633248
3480;5315120
3540;4423952
3600;9094592
3660;4653488
3720;7557240
3780;5634480
3840;4747704
3900;4697352
3960;8873848
4020;6457152
4080;4923936
4140;4983776
4200;5631480
4260;6254296
4320;7565928
4380;5948248
4440;4709496
4500;5335952
4560;4846048
4620;4584600
4680;4905856
4740;4900680
4800;5913864
4860;6124536
4920;4736288
4980;5557952
5040;4978872
5100;6959656
5160;6102944
5220;5009872
5280;5559632
5340;5890760
5400;4360024
5460;4654504
5520;4590304
5580;5905672
5640;10234688
5700;9888088
5760;4667192
5820;5228096
5880;5949864
5940;5216992
6000;5270224
6060;4629512
6120;5513240
6180;4392416
6240;4973688
6300;5277656
6360;5320120
6420;7167632
6480;5140776
6540;5676528
6600;4401384
6660;4367552
6720;8468480
6780;6009800
6840;4770320
6900;6357464
6960;5538648
7020;6374376
7080;6448640
7140;5906800
7200;6358960
7260;5459648
7320;8689192
7380;5399904
7440;6229496
7500;5626208
7560;6269992
7620;5931200
7680;4846296
7740;7427472
7800;7359496
7860;6312704
7920;8479192
7980;6752776
8040;5015728
8100;5890096
8160;5651176
8220;4691232
8280;4880624
8340;5241512
8400;5138048
8460;4886752
8520;5269080
8580;6854840
8640;5873584
8700;4835176
8760;6531872
8820;9114616
8880;6394880
8940;6650672
9000;5215968
9060;5769920
9120;4696416
9180;4544208
9240;5949856
9300;5762536
9360;5311816
9420;5618824
9480;6289688
9540;5320192
9600;6708720
9660;6166624
9720;5991312
9780;6220768
9840;5599496
9900;4970272
9960;6489456
10020;5483664
10080;5127392
10140;4756504
10200;6214640
10260;5873248
10320;5021872
10380;4939752
10440;6152328
10500;5572904
10560;4618744
10620;5109600
10680;5651240
10740;5167496
10800;6117832
10860;6011152
10920;5293976
10980;5441976
11040;5366984
11100;5564720
11160;5832088
11220;6441432
11280;4497640
11340;5037368
11400;7592520
11460;6609392
11520;5766016
11580;5676312
11640;4845224
11700;5604520
11760;5162504
11820;6985704
11880;5076488
11940;4318216
12000;5538280
12060;4853424
12120;5098696
12180;4555992
12240;5191512
12300;4498256
12360;6724464
12420;7388360
12480;5182944
12540;5370936
12600;4479592
12660;5069248
12720;5238568
12780;6634856
12840;8388424
12900;6083168
12960;5062288
13020;4682536
13080;4744376
13140;7038976
13200;4635464
13260;6260008
13320;5846048
13380;7830768
13440;8511720
13500;6695360
13560;5568928
13620;5503568
13680;6176064
13740;7438504
13800;5050424
13860;5413816
13920;8044792
13980;6260848
14040;6906752
14100;5412472
